og_eccentricity,og_contrast,og_q,eccentricity,baseContrast,contrastDelta,q,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,thisRow.t,notes,block_breaks,welcome.started,welcome.stopped,fix.started,iti,signed_contrast,leftCont,rightCont,fix.stopped,trial.started,mouse.started,reaction_time,response_time,trial.stopped,correct,timeout,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.time,feedback.started,feedback_sound.started,fixation_obj_2.started,feedback_sound.stopped,fixation_obj_2.stopped,feedback.stopped,sound_no_resp.started,mouse.stopped,sound_no_resp.stopped,participant,date,expName,psychopyVersion,frameRate,expStart,
-35,0.125,0.60337632,-15,0.5,0.05,0.60337632,0,0,0,0,0.9217400409979746,,y,0.014261416043154895,0.7538620000705123,0.892481041024439,0.4382319454099387,-0.050000000000000044,0.55,0.5,1.3432830410310999,1.343310333089903,0.013101874967105687,992,1665,3.0092525410000235,1,n,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, -0.04865992405379401, -0.3406194683765581, -0.5352591645917341, -0.6812389367531162, -0.9245385570220863, -1.0705183291834681, -1.1678381772910562, -1.3138179494524382, -1.3624778735062324, -1.6057774937752023, -1.9463969621517605, -2.1410366583669362, -2.5789759748510828, -2.5789759748510828, -2.870935519173847, -2.9682553672814347, -3.2602149116041983, -3.454854607819375, -3.844134000249727, -3.844134000249727, -3.990113772411109, -4.087433620518697, -4.184753468626285, -4.233413392680078, -4.379393164841461, -4.379393164841461, -4.428053088895255, -4.428053088895255, -4.476713012949049, -4.476713012949049, -4.476713012949049, -4.476713012949049, -4.476713012949049, -4.525372937002843, -4.525372937002843, -4.5740328610566365, -4.5740328610566365, -4.622692785110432, -4.671352709164225, -4.720012633218019, -4.720012633218019, -4.768672557271813, -4.768672557271813, -4.817332481325607, -4.817332481325607, -4.817332481325607, -4.817332481325607, -4.817332481325607, -4.817332481325607, -4.817332481325607, -4.817332481325607, -4.817332481325607, -4.817332481325607, -4.817332481325607, -4.817332481325607, -4.768672557271813, -4.768672557271813, -4.671352709164225, -4.476713012949049, -4.2820733167338725, -3.990113772411109, -3.6008343799807565, -2.7736156710662585, -2.3356763545821124, -1.6057774937752023, -0.04865992405379401, 0.8758786329682922, 1.9950568862055544, 3.2115549875504046, 3.7468141521421385, 4.671352709164225, 6.569089747262192, 7.055688987800132, 8.174867241037393, 9.00208594995189, 9.975284431027772, 10.656523367780888, 11.483742076695387, 13.040859646416793, 13.916738279385086, 13.916738279385086, 15.133236380729935]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.04865992405379401, 0.04865992405379401, 0.04865992405379401, 0.04865992405379401, 0.04865992405379401, 0.04865992405379401, 0.04865992405379401, 0.04865992405379401, 0.04865992405379401, 0.04865992405379401, 0.04865992405379401, 0.09731984810758802, 0.09731984810758802, 0.09731984810758802, 0.09731984810758802, 0.09731984810758802, 0.09731984810758802, 0.09731984810758802, 0.09731984810758802, 0.09731984810758802, 0.09731984810758802, 0.09731984810758802, 0.09731984810758802, 0.09731984810758802, 0.09731984810758802, 0.09731984810758802, 0.09731984810758802, 0.09731984810758802, 0.09731984810758802, 0.09731984810758802, 0.09731984810758802, 0.09731984810758802, 0.09731984810758802, 0.09731984810758802, 0.09731984810758802, 0.09731984810758802, 0.09731984810758802, 0.09731984810758802, 0.09731984810758802, 0.09731984810758802, 0.09731984810758802, 0.09731984810758802, 0.09731984810758802, 0.09731984810758802, 0.09731984810758802, 0.09731984810758802, 0.09731984810758802, 0.09731984810758802, 0.09731984810758802, 0.09731984810758802, 0.09731984810758802, 0.09731984810758802, 0.0, -0.14597977216138203, -0.29195954432276405, -0.3406194683765581, -0.4379393164841461, -0.5839190886455281, -0.632579012699322, -0.6812389367531162, -0.6812389367531162, -0.6812389367531162, -0.6812389367531162, -0.6812389367531162, -0.6812389367531162]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0.0004360000602900982, 0.014008333091624081, 0.022521291044540703, 0.03539400000590831, 0.04315287503413856, 0.050933250109665096, 0.0586992910830304, 0.06800245807971805, 0.07572304108180106, 0.08465629105921835, 0.26022766600362957, 0.2681977910688147, 0.27586958301253617, 0.28397583309561014, 0.291442625108175, 0.3009733330691233, 0.3086120830848813, 0.31756179104559124, 0.3252320000901818, 0.33463991608005017, 0.342282458092086, 0.35142325004562736, 0.3590882080607116, 0.36797729099635035, 0.3755019580712542, 0.38467341603245586, 0.3924077081028372, 0.40138395805843174, 0.40899979101959616, 0.41709825000725687, 0.42464725009631366, 0.4346907500876114, 0.4424403751036152, 0.45130450010765344, 0.45909275009762496, 0.4680971660418436, 0.4757218750892207, 0.48470916610676795, 0.49258558300789446, 0.5013982501113787, 0.509054750087671, 0.51795733300969, 0.5255376250715926, 0.5346534160198644, 0.5423888750374317, 0.5513050000881776, 0.5589963330421597, 0.567984375054948, 0.575625375029631, 0.5846572910668328, 0.5923858330352232, 0.6010890830075368, 0.6086575411027297, 0.6180221660761163, 0.625491000013426, 0.6346328330691904, 0.6422772500663996, 0.6514560410287231, 0.6591008750256151, 0.6671993330819532, 0.6746047080960125, 0.6846492080949247, 0.6924054160481319, 0.7013840411091223, 0.7089473330415785, 0.7179521250072867, 0.7255410409998149, 0.7346727080876008, 0.7423257910413668, 0.7513340410077944, 0.7589558750623837, 0.7675660829991102, 0.7752377500291914, 0.7847278330009431, 0.7925148750655353, 0.8013330830726773, 0.8090733750723302, 0.8180138750467449, 0.8256619160529226, 0.8346715410007164, 0.8423584580887109, 0.8514536661095917, 0.8591307080350816, 0.8679679160704836, 0.8757690830389038, 0.884746125084348, 0.8925458330195397, 0.9013133750995621, 0.9089876660145819, 0.9180146660655737, 0.9255103750620037, 0.9342761660227552, 0.9418450410012156, 0.9513912911061198, 0.9590687080053613, 0.9681379160610959, 0.9786102080252022, 0.9868656250182539, 0.9951398330740631, 1.003433333011344, 1.0117318750126287, 1.0200589580927044, 1.028265625005588, 1.0365699160611257, 1.044890083023347, 1.0532239160966128, 1.0614257080014795, 1.0701082500163466, 1.0782559160143137, 1.0863466660957783, 1.094532125047408, 1.1027737500844523, 1.1110740411095321, 1.119517583050765, 1.1275573750026524, 1.1356941250851378, 1.1437985410448164, 1.1519395830109715, 1.1600889160763472, 1.1684455000795424, 1.1766870410647243, 1.1854923750506714, 1.1940115001052618, 1.2023598330561072, 1.2106835830491036, 1.2191210410092026, 1.2265159580856562, 1.2348287909990177, 1.2426025830209255, 1.2512031660880893, 1.259467541007325, 1.2677530000219122, 1.2763111660024151, 1.2847455830778927, 1.2931476660305634, 1.3017083751037717, 1.3098937910981476, 1.317725166096352, 1.3260233330074698, 1.3347618750995025, 1.3430897500365973, 1.3509132500039414, 1.3585880000609905, 1.3681164160370827, 1.3758256660075858, 1.384758208063431, 1.392967583029531, 1.4009202910820022, 1.4086891250917688, 1.4180727080674842, 1.4262502080528066, 1.4341595000587404, 1.4428854580037296, 1.4511813330464065, 1.4596160410437733, 1.4688015000429004, 1.47731058311183, 1.4860145410057157, 1.4942697080550715, 1.5025573750026524, 1.5107127910014242, 1.5189452500781044, 1.5272024580044672, 1.5355199160985649, 1.543769833049737, 1.5519694579998031, 1.5602325830841437, 1.568450541002676, 1.576527833007276, 1.5846792500233278, 1.5927177080884576, 1.6010955410310999, 1.6090521661099046, 1.618449166067876, 1.6264218330616131, 1.6343600410036743, 1.6422081250930205, 1.651039040996693]",3.0130572500638664,3.0246102917628983,3.0195595000404865,3.3809388750232756,4.026977875037119,4.009822249994613,,,,518035,2024-04-11_15h28.14.265,pedestal_cursor_ibl,2023.2.3,None,2024-04-11 15h28.22.268732 +0200,
-35,1,0.61869807,-15,0.5,0.2,0.61869807,0,1,1,1,4.026977875037119,,,,,4.010405625100248,0.561539382002606,-0.19999999999999996,0.7,0.5,4.576595458085649,4.576623208005913,0.013866957975551486,765,1114,5.692573375068605,0,n,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.04865992405379401, 0.09731984810758802, 0.14597977216138203, 0.29195954432276405, 0.29195954432276405, 0.29195954432276405, 0.3406194683765581, 0.3406194683765581, 0.3406194683765581, 0.3406194683765581, 0.3406194683765581, 0.3406194683765581, 0.3406194683765581, 0.3406194683765581, 0.3406194683765581, 0.3406194683765581, 0.3406194683765581, 0.3406194683765581, 0.3406194683765581, 0.3406194683765581, 0.3406194683765581, 0.3406194683765581, 0.3406194683765581, 0.3406194683765581, 0.3406194683765581, 0.3406194683765581, 0.29195954432276405, 0.14597977216138203, -0.09731984810758802, -0.4379393164841461, -1.265158025398644, -1.9950568862055544, -2.9195954432276405, -4.038773696464903, -5.109292025648371, -6.325790126993221, -7.882907696714629, -9.245385570220863, -10.802503139942269, -12.164981013448504, -13.576118811008529, -14.062718051546469, -15.133236380729935]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, -0.09731984810758802, -0.14597977216138203, -0.19463969621517604, -0.29195954432276405, -0.4865992405379401, -0.5352591645917341, -0.7298988608069101, -0.8758786329682922, -1.0218584051296742, -1.0705183291834681, -1.2164981013448501]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0.0003771670162677765, 0.010951334028504789, 0.019033959018997848, 0.027062542038038373, 0.034859374980442226, 0.042546542012132704, 0.050310958991758525, 0.05809337506070733, 0.06764779204968363, 0.07533608400262892, 0.08429995900951326, 0.2608351670205593, 0.26964491698890924, 0.2773827500641346, 0.2851548750186339, 0.29274620907381177, 0.3004004170652479, 0.30800058401655406, 0.3176344169769436, 0.3252121669938788, 0.3342941669980064, 0.3419084590859711, 0.35103783407248557, 0.3588825840270147, 0.3677122090011835, 0.37538233399391174, 0.3842450000811368, 0.3918319999938831, 0.40110854199156165, 0.4087030420778319, 0.41771100007463247, 0.42541633406654, 0.434272792073898, 0.44192641705740243, 0.45105687505565584, 0.458959124982357, 0.4677263339981437, 0.47533225000370294, 0.4843216669978574, 0.4918812090763822, 0.5010344589827582, 0.5087439590133727, 0.5176611670758575, 0.5253297500312328, 0.5342936670640483, 0.5418353340355679, 0.5509950420819223, 0.5587322090286762, 0.5676850420422852, 0.5754723750287667, 0.5834991669980809, 0.5909520840505138, 0.6009705420583487, 0.608720334013924, 0.6177297090180218, 0.6253335840301588, 0.6334058750653639, 0.6407337500713766, 0.6510222919750959, 0.6587552500423044, 0.6676979170879349, 0.6753989170538262, 0.6843066670699045, 0.6918622499797493, 0.7005261250305921, 0.7081019590841606, 0.7176117920316756, 0.7252847920171916, 0.7347619170323014, 0.742977958987467, 0.7514099170221016, 0.7596572090405971, 0.7682458340423182, 0.7763436670647934, 0.784443625016138, 0.7926628750283271, 0.8008565000491217, 0.8089315840043128, 0.8181677090469748, 0.826186417019926, 0.834017000044696, 0.84174875007011, 0.850897750002332, 0.8584444590378553, 0.8676287500420585, 0.8752314170124009, 0.8842785840388387, 0.8918542920146137, 0.9009987920289859, 0.9087144170189276, 0.9172535000834614, 0.9248302920022979, 0.9343161249998957, 0.9419930840376765, 0.9509595000417903, 0.9598665420198813, 0.9678265419788659, 0.9764793750364333, 0.9843487920006737, 0.9931867499835789, 1.0010132499737665, 1.0097420420497656, 1.0176721670432016, 1.0264328339835629, 1.0347899170592427, 1.0429485840722919, 1.0507295420393348, 1.0591434590751305, 1.067457125056535, 1.0757100000046194, 1.0846955419983715, 1.0927124590380117, 1.1006948750000447]",5.694777416065335,5.724139999373195,5.716646415996365,6.378783000051044,7.72828004101757,7.709815666079521,,,,518035,2024-04-11_15h28.14.265,pedestal_cursor_ibl,2023.2.3,None,2024-04-11 15h28.22.268732 +0200,
35,0.0625,0.55997489,15,0.5,0.02,0.55997489,0,2,2,2,7.72828004101757,,,,,7.710379541036673,0.4486913421539553,0.020000000000000018,0.5,0.52,8.166156416060403,8.166175457998179,0.011634291964583099,433,684,8.851543083088472,0,n,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.09731984810758802, 0.3892793924303521, 0.7298988608069101, 1.0705183291834681, 1.5084576456676142, 1.9463969621517605, 2.3843362786359066, 2.724955747012465, 3.0655752153890226, 3.4061946837655808, 4.136093544572491, 4.963312253486989, 5.644551190240105, 6.374450051047015, 6.374450051047015, 7.736927924553247, 8.320847013198776, 8.953426025898098, 9.537345114543626, 10.07260427913536, 10.705183291834683, 11.28910238048021, 11.824361545071945, 12.26230086155609, 12.74890010209403, 13.186839418578176, 13.72209858316991, 14.111377975600265, 14.549317292084408, 14.889936760460968, 15.035916532622348]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, -0.04865992405379401, -0.09731984810758802, -0.14597977216138203, -0.19463969621517604, -0.24329962026897006, -0.29195954432276405, -0.3406194683765581, -0.3892793924303521, -0.4379393164841461, -0.4865992405379401, -0.632579012699322, -0.6812389367531162, -0.6812389367531162, -0.8758786329682922, -0.9245385570220863, -1.0218584051296742, -1.0705183291834681, -1.1678381772910562, -1.2164981013448501, -1.3624778735062324, -1.4111377975600263, -1.4597977216138203, -1.5571175697214084, -1.6057774937752023, -1.6544374178289964, -1.7030973418827904, -1.7517572659365843, -1.8004171899903783, -1.8004171899903783]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0.00039116700645536184, 0.011124584008939564, 0.019065959029830992, 0.030821084044873714, 0.03856125008314848, 0.046271834056824446, 0.05390104209072888, 0.06371270900126547, 0.07144520909059793, 0.08037787501234561, 0.0879996670410037, 0.2619525420013815, 0.26930150005500764, 0.2807817090069875, 0.288428166997619, 0.29610062506981194, 0.3036875840043649, 0.313747875043191, 0.3212485840776935, 0.3303564169909805, 0.3379660000791773, 0.34698987507726997, 0.35453962499741465, 0.36368029203731567, 0.3716873340308666, 0.3795735420426354, 0.3872490420471877, 0.3970447920728475, 0.4046983750304207, 0.4136842089938, 0.4218191670952365, 0.43009679205715656, 0.4387025840114802, 0.4470335840014741, 0.4556414170656353, 0.4636082090437412, 0.4714795839972794, 0.47987991699483246, 0.4887483750935644, 0.4965443750843406, 0.5051228750962764, 0.5130312090041116, 0.5214441670104861, 0.5299667920917273, 0.5378722921013832, 0.5474499590927735, 0.5552607499994338, 0.562926625018008, 0.5711717500817031, 0.5804547499865294, 0.5888028340414166, 0.5966981670353562, 0.6046145420987159, 0.6137755000963807, 0.6216480419971049, 0.6307495420332998, 0.6390065420418978, 0.6469320000614971, 0.654871917096898, 0.6643263750011101, 0.6725609170971438]",8.853433541022241,8.866568749716196,8.872117625083774,9.518997125094756,10.877054583048448,10.86019141599536,,,,518035,2024-04-11_15h28.14.265,pedestal_cursor_ibl,2023.2.3,None,2024-04-11 15h28.22.268732 +0200,
