thisRow.t,notes,win_size,block_breaks,instructions.started,instruction_txt.started,continue_txt_2.started,instructions.stopped,mouse_2.x,mouse_2.y,mouse_2.leftButton,mouse_2.midButton,mouse_2.rightButton,mouse_2.time,mouse_2.clicked_name,session_start,survey_link.started,mouse_8.started,txt_for_link.started,participant,date,expName,psychopyVersion,frameRate,expStart,
,,[2880 1800],y,0.05362950009293854,0.08233441598713398,0.08233441598713398,0.8969092500628904,[-4.476713012949049],[9.537345114543626],[1],[0],[0],[0.8426525830291212],[],,,,,358423,2024-04-15_17h25.29.346,pedestal_cursor_ibl,2023.2.3,None,2024-04-15 17h25.39.791081 +0200,
,,,,,,,,,,,,,,,0.8970860410481691,0.8970986660569906,0.8211582920048386,1.8857456659898162,,,,,,,
