og_eccentricity,og_contrast,og_q,eccentricity,baseContrast,contrastDelta,q,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,thisRow.t,notes,block_breaks,instructions.started,instruction_txt.started,continue_txt_2.started,instructions.stopped,mouse_2.x,mouse_2.y,mouse_2.leftButton,mouse_2.midButton,mouse_2.rightButton,mouse_2.time,mouse_2.clicked_name,fix.started,signed_contrast,leftCont,rightCont,fixation_2.started,fixation_2.stopped,fix.stopped,trial.started,fixation.started,grating_l.started,grating_r.started,dot.started,mouse.started,sound_trial_start.started,sound_trial_start.stopped,reaction_time,response_time,trial.stopped,correct,timeout,dot_trajectory,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.time,feedback.started,feedback_sound.started,fixation_obj_2.started,feedback_sound.stopped,fixation_obj_2.stopped,feedback.stopped,participant,date,expName,psychopyVersion,frameRate,expStart,
,,,,,,,,,,,,,y,0.030862790998071432,0.046774832997471094,0.046774832997471094,0.5999405410839245,[-8.564146633467745],[8.36950693725257],[1],[0],[0],[0.5685944159049541],[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,505037,2024-04-15_13h22.06.932,pedestal_cursor_ibl,2023.2.3,None,2024-04-15 13h22.13.972874 +0200,
-35,1,0.61010396,-15,0.5,0.2,0.61010396,0,0,0,0,0.7080457500414923,,,,,,,,,,,,,,0.6910051250597462,-0.19999999999999996,0.7,0.5,0.7080457500414923,1.3288900409825146,1.3077824580250308,1.307792374980636,1.3288900409825146,1.3288900409825146,1.3288900409825146,1.3288900409825146,0.008176082978025079,1.324002541663746,1.4282970830099657,374,491,1.7995996660320088,1,0,"[-15.000000000000002, -15.000000000000002, -15.000000000000002, -15.000000000000002, -15.000000000000002, -15.000000000000002, -15.000000000000002, -15.000000000000002, -15.000000000000002, -15.000000000000002, -15.000000000000002, -15.000000000000002, -15.000000000000002, -15.000000000000002, -15.000000000000002, -15.000000000000002, -15.000000000000002, -15.000000000000002, -15.000000000000002, -15.000000000000002, -15.000000000000002, -15.000000000000002, -15.000000000000002, -15.000000000000002, -15.000000000000002, -15.000000000000002, -15.000000000000002, -15.000000000000002, -15.000000000000002, -15.000000000000002, -15.000000000000002, -15.000000000000002, -15.000000000000002, -15.000000000000002, -15.000000000000002, -15.000000000000002, -15.000000000000002, -15.000000000000002, -15.000000000000002, -15.000000000000002, -15.000000000000002, -15.000000000000002, -14.805360303784823, -14.513400759462062, -14.172781291085501, -13.442882430278592, -12.761643493525476, -11.642465240288214, -10.571946911104746, -9.355448809759894, -7.992970936253662, -6.435853366532256, -4.732756024649465, -3.175638454928056, -1.8131605814218241, -0.40202278386179735, 0.9604550896444355]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.19463969621517604, 0.4865992405379401, 0.8272187089144982, 1.5571175697214084, 2.2383565064745246, 3.357534759711787, 4.428053088895255, 5.644551190240105, 7.007029063746337, 8.564146633467745, 10.267243975350535, 11.824361545071945, 13.186839418578176, 14.597977216138203, 15.960455089644435]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.14597977216138203, 0.3406194683765581, 0.4865992405379401, 0.6812389367531162, 0.9245385570220863, 1.1678381772910562, 1.4111377975600263, 1.6057774937752023, 1.8490771140441726, 2.0923767343131425, 2.2383565064745246, 2.3356763545821124]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0.0005745419766753912, 0.012371541932225227, 0.02019295794889331, 0.03233679197728634, 0.03959016699809581, 0.0484086669748649, 0.055733166984282434, 0.06511358299758285, 0.07262570795137435, 0.08237683295737952, 0.08949383290018886, 0.09928491699974984, 0.11189579195342958, 0.11869791697245091, 0.13207012496422976, 0.13918924995232373, 0.14877729199361056, 0.1555419999640435, 0.16558841697406024, 0.17259129195008427, 0.1820532080018893, 0.18871120794210583, 0.1988144579809159, 0.20536949997767806, 0.21532987500540912, 0.223596291965805, 0.2313420829595998, 0.23999654198996723, 0.2478614579886198, 0.25427166698500514, 0.2649549169000238, 0.2717559579759836, 0.28174474998377264, 0.2881296669365838, 0.30045012501068413, 0.3072204169584438, 0.3148497079964727, 0.3214434169931337, 0.33221754198893905, 0.3390396249014884, 0.3485913329059258, 0.3555597919039428, 0.3648048749892041, 0.3715745419031009, 0.3820318749640137, 0.38907941698562354, 0.39873341692145914, 0.4060282079735771, 0.4146724579622969, 0.4219012919347733, 0.43231408298015594, 0.4396989579545334, 0.44835295795928687, 0.4551474169129506, 0.46566399990115315, 0.4725646669976413, 0.4817695829551667]",1.8008700830396265,1.8150250416404257,1.8158104160102084,2.0110006249742582,2.811648915987462,2.799669250031002,505037,2024-04-15_13h22.06.932,pedestal_cursor_ibl,2023.2.3,None,2024-04-15 13h22.13.972874 +0200,
,,,,,,,,,,,2.811648915987462,,,,,,,,,,,,,,2.799901625025086,-0.050000000000000044,0.55,0.5,2.811648915987462,3.415932000032626,3.399658582988195,3.3996675830567256,3.415932000032626,3.415932000032626,3.415932000032626,3.415932000032626,0.0075269590597599745,3.4160877076831335,3.5105024580843747,,,,,,,,,,,,,,,,,,,,,,,,,
