og_eccentricity,og_contrast,og_q,eccentricity,baseContrast,contrastDelta,q,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,thisRow.t,notes,block_breaks,fix.started,signed_contrast,leftCont,rightCont,fixation_2.started,fixation_2.stopped,fix.stopped,trial.started,fixation.started,grating_l.started,grating_r.started,dot.started,mouse.started,sound_trial_start.started,sound_trial_start.stopped,reaction_time,response_time,trial.stopped,correct,timeout,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.time,feedback.started,feedback_sound.started,fixation_obj_2.started,feedback_sound.stopped,fixation_obj_2.stopped,feedback.stopped,participant,date,expName,psychopyVersion,frameRate,expStart,
-35,1,0.61010396,-15,0.5,0.2,0.61010396,0,0,0,0,0.1131501249037683,,y,0.09866041596978903,-0.19999999999999996,0.7,0.5,0.1131501249037683,0.7375772499945015,0.7117921249009669,0.7118451249552891,0.7375772499945015,0.7375772499945015,0.7375772499945015,0.7375772499945015,0.013282750034704804,0.7276877075821783,0.8224203329300508,494,616,1.3289071249309927,1,0,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.24329962026897006, 0.5839190886455281, 0.5839190886455281, 1.6544374178289964, 2.3356763545821124, 2.9682553672814347, 4.330733240787667, 5.887850810509075, 7.590948152391866, 9.148065722113273, 9.731984810758801, 12.213640937502296, 13.430139038847148, 14.062718051546469, 15.133236380729935]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.04865992405379401, 0.04865992405379401, 0.04865992405379401, 0.09731984810758802, 0.19463969621517604, 0.29195954432276405, 0.3892793924303521, 0.3892793924303521, 0.5839190886455281, 0.7298988608069101, 0.7785587848607042, 0.8758786329682922]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0.00027420802507549524, 0.012479000026360154, 0.019528917036950588, 0.026128208031877875, 0.03493687498848885, 0.04161491699051112, 0.05229808297008276, 0.05986704200040549, 0.06833962502423674, 0.07502408302389085, 0.08521000004839152, 0.09705970797222108, 0.12045887496788055, 0.13556116702966392, 0.14231599995400757, 0.15197395801078528, 0.15856350003741682, 0.1683832500129938, 0.17506958299782127, 0.18685866706073284, 0.1939067499479279, 0.20160829205997288, 0.2082687079673633, 0.2184488750062883, 0.22672549996059388, 0.2349550829967484, 0.24153537501115352, 0.25175329204648733, 0.26001508301123977, 0.26785791700240225, 0.27592745795845985, 0.28456983296200633, 0.2913843330461532, 0.3035016249632463, 0.31032716704066843, 0.31777212501037866, 0.32430883299093693, 0.33519712497945875, 0.3419226249679923, 0.35185195796657354, 0.35856950003653765, 0.3706601669546217, 0.377412167028524, 0.38458679197356105, 0.3910152920288965, 0.4017373330425471, 0.4083091670181602, 0.4188070830423385, 0.42542687500827014, 0.43697024998255074, 0.4443773749517277, 0.45084774994757026, 0.45734883297700435, 0.47053295804653317, 0.480920874979347, 0.4884747499600053, 0.5020831669680774, 0.5092322500422597, 0.5180837500374764, 0.5253179169958457, 0.5351557499961928, 0.5423420000588521, 0.5514039170229807, 0.5583995420020074, 0.5685577080585063, 0.5755744170164689, 0.585322416969575, 0.5921457919757813, 0.6025916669750586]",1.3301868749549612,1.3443872496175269,1.346240249928087,1.5374894998967648,2.3464693329297006,2.334303915966302,631969,2024-04-15_11h57.50.783,pedestal_cursor_ibl,2023.2.3,None,2024-04-15 11h57.56.155969 +0200,
-35,0.125,0.60337632,-15,0.5,0.05,0.60337632,0,1,1,1,2.3464693329297006,,,2.3346153328893706,-0.050000000000000044,0.55,0.5,2.3464693329297006,2.9506592908874154,2.93387437495403,2.9338866249891,2.9506592908874154,2.9506592908874154,2.9506592908874154,2.9506592908874154,0.007964374963194132,2.95016883261657,3.0470856248866767,527,1444,4.378377040964551,1,0,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.29195954432276405, 0.9731984810758803, 1.4111377975600263, 2.0437168102593484, 2.6276358989048765, 3.2602149116041983, 3.795474076195933, 4.2820733167338725, 4.428053088895255, 4.865992405379401, 5.206611873755959, 5.498571418078723, 5.693211114293899, 5.887850810509075, 6.033830582670457, 6.131150430778045, 6.228470278885633, 6.277130202939428, 6.325790126993221, 6.374450051047015, 6.374450051047015, 6.423109975100809, 6.423109975100809, 6.471769899154603, 6.520429823208397, 6.520429823208397, 6.569089747262192, 6.617749671315986, 6.666409595369779, 6.666409595369779, 6.715069519423574, 6.763729443477367, 6.763729443477367, 6.8123893675311615, 6.8123893675311615, 6.8123893675311615, 6.861049291584955, 6.861049291584955, 6.90970921563875, 6.958369139692543, 7.055688987800132, 7.153008835907719, 7.250328684015308, 7.3476485321228955, 7.444968380230484, 7.736927924553247, 7.736927924553247, 7.882907696714629, 7.980227544822218, 8.174867241037393, 8.272187089144982, 8.418166861306364, 8.418166861306364, 8.515486709413953, 8.661466481575333, 8.807446253736716, 8.807446253736716, 9.00208594995189, 9.148065722113273, 9.34270541832845, 9.58600503859742, 9.683324886705007, 9.877964582920184, 10.023944355081566, 10.218584051296743, 10.461883671565712, 10.656523367780888, 10.802503139942269, 10.997142836157446, 11.191782532372622, 11.337762304534005, 11.483742076695387, 11.581061924802974, 11.678381772910562, 11.77570162101815, 11.921681393179531, 11.970341317233327, 12.067661165340914, 12.164981013448504, 12.26230086155609, 12.310960785609884, 12.408280633717473, 12.505600481825061, 12.554260405878855, 12.651580253986442, 12.846219950201618, 12.846219950201618, 12.894879874255412, 12.992199722363, 13.138179494524383, 13.138179494524383, 13.235499342631972, 13.284159266685766, 13.430139038847148, 13.430139038847148, 13.624778735062323, 13.624778735062323, 13.8194184312775, 13.8194184312775, 14.014058127492675, 14.111377975600265, 14.111377975600265, 14.257357747761645, 14.354677595869232, 14.403337519923026, 14.549317292084408, 14.646637140191997, 14.695297064245791, 14.792616912353381, 14.889936760460968, 14.987256608568554]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, -0.04865992405379401, -0.04865992405379401, -0.09731984810758802, -0.09731984810758802, -0.14597977216138203, -0.14597977216138203, -0.14597977216138203, -0.14597977216138203, -0.19463969621517604, -0.19463969621517604, -0.19463969621517604, -0.19463969621517604, -0.19463969621517604, -0.19463969621517604, -0.24329962026897006, -0.24329962026897006, -0.24329962026897006, -0.24329962026897006, -0.24329962026897006, -0.24329962026897006, -0.24329962026897006, -0.24329962026897006, -0.24329962026897006, -0.24329962026897006, -0.24329962026897006, -0.24329962026897006, -0.24329962026897006, -0.24329962026897006, -0.29195954432276405, -0.29195954432276405, -0.29195954432276405, -0.29195954432276405, -0.29195954432276405, -0.3406194683765581, -0.3406194683765581, -0.3892793924303521, -0.3892793924303521, -0.4379393164841461, -0.4379393164841461, -0.4379393164841461, -0.4379393164841461, -0.4379393164841461, -0.4379393164841461, -0.4379393164841461, -0.4379393164841461, -0.4379393164841461, -0.4379393164841461, -0.4379393164841461, -0.4379393164841461, -0.4379393164841461, -0.4379393164841461, -0.4379393164841461, -0.4379393164841461, -0.4379393164841461, -0.4865992405379401, -0.4865992405379401, -0.5352591645917341, -0.5352591645917341, -0.5839190886455281, -0.5839190886455281, -0.5839190886455281, -0.5839190886455281, -0.5839190886455281, -0.5839190886455281, -0.5839190886455281, -0.5839190886455281, -0.5839190886455281, -0.5839190886455281, -0.5839190886455281, -0.5839190886455281, -0.5839190886455281, -0.5839190886455281, -0.5839190886455281, -0.5839190886455281, -0.5839190886455281, -0.5839190886455281, -0.5839190886455281, -0.5839190886455281, -0.5839190886455281, -0.5839190886455281, -0.5839190886455281, -0.5352591645917341, -0.5352591645917341, -0.5352591645917341, -0.5352591645917341, -0.5352591645917341, -0.5352591645917341, -0.4865992405379401, -0.4865992405379401, -0.4865992405379401, -0.4865992405379401, -0.4865992405379401, -0.4865992405379401, -0.4865992405379401, -0.4865992405379401, -0.4865992405379401, -0.4865992405379401, -0.4865992405379401, -0.4865992405379401, -0.4865992405379401, -0.4865992405379401, -0.4865992405379401, -0.4865992405379401]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0.0002568329218775034, 0.00903591699898243, 0.018437416991218925, 0.025229041930288076, 0.03527295798994601, 0.04205366701353341, 0.05199254199396819, 0.05904512491542846, 0.0690427499357611, 0.07570774992927909, 0.08531537500675768, 0.09367412491701543, 0.10533879196736962, 0.12030854192562401, 0.12774937495123595, 0.1342308329185471, 0.1406588329700753, 0.15391937491949648, 0.161615916993469, 0.1698742499575019, 0.17707429197616875, 0.1845930420095101, 0.19121724995784461, 0.2019556249724701, 0.20861004199832678, 0.21868116699624807, 0.22707008302677423, 0.23521595797501504, 0.2436341670108959, 0.25167137500829995, 0.25814091693609953, 0.2686024169670418, 0.27675395796541125, 0.28509141702670604, 0.29172683297656476, 0.3021521249320358, 0.31048416695557535, 0.3179342079674825, 0.32448333292268217, 0.3358044169144705, 0.3423499580239877, 0.3518597499933094, 0.3584639999317005, 0.3687676669796929, 0.3769707919564098, 0.3846609169850126, 0.3919582499656826, 0.40179345791693777, 0.4101043329574168, 0.4186133330222219, 0.4253424999769777, 0.43561683292500675, 0.4440866669174284, 0.4513277079677209, 0.45772279193624854, 0.4705214999848977, 0.4777635829523206, 0.4842686669435352, 0.4905857499688864, 0.5046989169204608, 0.5116168329259381, 0.5186573750106618, 0.525734749971889, 0.5355139169842005, 0.5422523330198601, 0.5520217079902068, 0.558998916996643, 0.5689638329204172, 0.5758504170225933, 0.5852047079242766, 0.5925270830048248, 0.6013397499918938, 0.6083975419169292, 0.6186343330191448, 0.6259209170239046, 0.6357926250202581, 0.642880667001009, 0.6519935419782996, 0.6592781249200925, 0.6689136249478906, 0.6758507499471307, 0.6850904580205679, 0.6923560829600319, 0.7013057499425486, 0.7083743329858407, 0.7189786669332534, 0.7259413750143722, 0.7355119169224054, 0.7424248749157414, 0.7521389169851318, 0.7591934580123052, 0.769208375015296, 0.7764500830089673, 0.7854279999155551, 0.7924413329456002, 0.8021510830149055, 0.8091426249593496, 0.8190248749451712, 0.8259493330260739, 0.8351332079619169, 0.8422342499252409, 0.8523733329493552, 0.8593031669734046, 0.8687087500002235, 0.8755772500298917, 0.8856753329746425, 0.8927015829831362, 0.901560458005406, 0.9082103749969974, 0.9191135419532657, 0.9262994169257581, 0.934925791923888, 0.9420111249201, 0.9515611249953508, 0.9584248749306425, 0.9681097079301253, 0.9749130000127479, 0.9857239580014721, 0.9928954169154167, 1.0017721669282764, 1.0086588750127703, 1.018581375014037, 1.0253646249184385, 1.0352359169628471, 1.042480667005293, 1.0513567079324275, 1.057920458028093, 1.0688463329570368, 1.0756292919395491, 1.0855629169382155, 1.0925219579366967, 1.1021784580079839, 1.108919500024058, 1.1188859170069918, 1.1258469999302179, 1.1353426249697804, 1.142134791938588, 1.1524327079532668, 1.1592626249184832, 1.1688588749384508, 1.175676624989137, 1.18551091698464, 1.1922703749733046, 1.201884042005986, 1.2086216669995338, 1.2205772920278832, 1.2275942920241505, 1.235448749968782, 1.2422354579903185, 1.252248500008136, 1.2590254999231547, 1.2685789170209318, 1.275312582962215, 1.2859550829743966, 1.2928559170104563, 1.3020216249860823, 1.308773958007805, 1.3193000419996679, 1.3258817919995636, 1.3355277499649674, 1.3423879579640925, 1.3512720830040053, 1.3578005000017583, 1.368764124927111, 1.3755447500152513, 1.3855842920020223, 1.392117750016041, 1.401392792002298, 1.4084736669901758, 1.4182339999824762, 1.4251615829998627, 1.4355555420042947]",4.380538332974538,4.394119666602152,4.3894147909013554,4.589434374938719,5.391587874968536,5.37850204098504,631969,2024-04-15_11h57.50.783,pedestal_cursor_ibl,2023.2.3,None,2024-04-15 11h57.56.155969 +0200,
-35,1,0.61869807,-15,0.5,0.2,0.61869807,0,2,2,2,5.391587874968536,,,5.379046957939863,-0.19999999999999996,0.7,0.5,5.391587874968536,6.013999874936417,5.995123999891803,5.995152290910482,6.013999874936417,6.013999874936417,6.013999874936417,6.013999874936417,0.010048250085674226,6.011112166630725,6.107588999904692,583,722,6.718386415974237,1,0,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.19463969621517604, 0.19463969621517604, 0.4865992405379401, 1.3138179494524382, 1.3138179494524382, 2.7736156710662585, 4.476713012949049, 4.476713012949049, 5.741871038347694, 8.36950693725257, 8.36950693725257, 10.948482912103652, 10.948482912103652, 12.554260405878855, 12.554260405878855, 14.451997443976822, 14.451997443976822, 15.911795165590643]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, -0.09731984810758802, -0.09731984810758802, -0.29195954432276405, -0.29195954432276405, -0.4379393164841461]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0.00026533298660069704, 0.009019666933454573, 0.021964457933790982, 0.028697249945253134, 0.03836737491656095, 0.045117000001482666, 0.0553486249409616, 0.062144832918420434, 0.07192099990788847, 0.07851566700264812, 0.09033549996092916, 0.10411066689994186, 0.11082216689828783, 0.12190829194150865, 0.128708416945301, 0.13828499999362975, 0.1464038749691099, 0.15453629195690155, 0.1609973330050707, 0.1712535829283297, 0.178087041946128, 0.18893333291634917, 0.1968057919293642, 0.20501029200386256, 0.21195795794483274, 0.2220905419671908, 0.23014012491330504, 0.23790558299515396, 0.246239791973494, 0.2541369579266757, 0.2606184169417247, 0.27182020794134587, 0.27867929195053875, 0.2901572079863399, 0.29790137498639524, 0.3045332079054788, 0.3109355829656124, 0.32192520797252655, 0.3284924170002341, 0.3377925829263404, 0.3447053749114275, 0.3552851249696687, 0.3619353329995647, 0.3712454579072073, 0.3777295829495415, 0.3878623329801485, 0.39477345789782703, 0.4053921669255942, 0.4135646669892594, 0.4212477079126984, 0.42936808289960027, 0.43800795800052583, 0.44462566694710404, 0.4572334169643, 0.46492829197086394, 0.4714103329461068, 0.47789212490897626, 0.4903747499920428, 0.49831212498247623, 0.504839124972932, 0.5112549999030307, 0.5237627499736845, 0.5315596249420196, 0.5384538329672068, 0.5449502079281956, 0.5572807079879567, 0.5656502079218626, 0.5726076249266043, 0.5795028329594061, 0.5886802918976173, 0.5956021249294281, 0.6060184579109773, 0.6130367079749703, 0.6213008749764413, 0.6280985829653218, 0.6389277919661254, 0.645871291984804, 0.655474792001769, 0.6620522079756483, 0.6724318329943344, 0.6790181669639423, 0.6890486249467358, 0.695875332923606, 0.7051613329676911, 0.7122504169819877]",6.7195593329379335,6.734036457554127,6.743581707938574,6.929681665962562,7.742614332935773,7.728799249976873,631969,2024-04-15_11h57.50.783,pedestal_cursor_ibl,2023.2.3,None,2024-04-15 11h57.56.155969 +0200,
