thisRow.t,notes,block_breaks,welcome.started,continue_txt.started,welcome.stopped,mouse_1.x,mouse_1.y,mouse_1.leftButton,mouse_1.midButton,mouse_1.rightButton,mouse_1.time,mouse_1.clicked_name,instructions.started,instruction_txt.started,continue_txt_2.started,participant,date,expName,psychopyVersion,frameRate,expStart,
,,n,0.04085116705391556,0.06128079199697822,3.241846750024706,[-0.022222222222222223],[-0.6155555555555555],[1],[0],[0],[3.200247749919072],['continue_txt'],,,,241826,2024-04-14_15h32.42.145,pedestal_cursor_ibl,2023.2.3,None,2024-04-14 15h32.53.734263 +0200,
,,,,,,,,,,,,,3.242026000050828,3.2498045000247657,3.2498045000247657,,,,,,,
