og_eccentricity,og_contrast,og_q,eccentricity,baseContrast,contrastDelta,q,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,thisRow.t,notes,welcome.started,welcome.stopped,fix.started,iti,signed_contrast,leftCont,rightCont,fix.stopped,trial.started,response_time,mouse.started,trial.stopped,correct,timeout,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.time,feedback.started,feedback_sound.started,fixation_obj_2.started,feedback_sound.stopped,fixation_obj_2.stopped,feedback.stopped,participant,date,expName,psychopyVersion,frameRate,expStart,
-35,1,0.61869807,-15,0.5,0.2,0.61869807,0,0,0,0,0.9273409580346197,,0.02672337496187538,0.7701922080013901,0.9045623750425875,0.6822850793438856,-0.19999999999999996,0.7,0.5,1.5984174580080435,1.5984462919877842,15,0.01535804197192192,1.6164347080048174,0,n,[0.0],[0.0],[0],[0],[0],[0.00045187503565102816],1.6173903750022873,1.647616208018735,1.6396357499761507,2.143436708021909,3.6483208750141785,3.631801333045587,896528,2024-04-11_14h22.10.456,pedestal_cursor_ibl,2023.2.3,None,2024-04-11 14h22.19.451440 +0200,
35,0.0625,0.55997489,15,0.5,0.02,0.55997489,0,1,1,1,3.6483208750141785,,,,3.6323627500096336,0.6421306813908243,0.020000000000000018,0.5,0.52,4.281742042046972,4.281765916966833,13,0.01255333295557648,4.296482958015986,0,n,[0.0],[0.0],[0],[0],[0],[0.00041270803194493055],4.301135458052158,4.314272208379892,4.316918917000294,4.810043500037864,6.3191492080222815,6.303227833006531,896528,2024-04-11_14h22.10.456,pedestal_cursor_ibl,2023.2.3,None,2024-04-11 14h22.19.451440 +0200,
-35,0.25,0.67488689,-15,0.5,0.1,0.67488689,0,2,2,2,6.3191492080222815,,,,6.303530875011347,0.6038218703415672,-0.09999999999999998,0.6,0.5,6.914348875056021,6.914360750000924,11,0.011483540991321206,6.928197041968815,0,n,[0.0],[0.0],[0],[0],[0],[0.0008951659547165036],6.9333210829645395,6.947298000341592,6.949199042050168,7.442682042019442,8.950495667057112,8.935430417070165,896528,2024-04-11_14h22.10.456,pedestal_cursor_ibl,2023.2.3,None,2024-04-11 14h22.19.451440 +0200,
,,,,,,,,,,,8.950495667057112,,,,8.935748375020921,0.671583648628848,0.0,0.5,0.5,9.614904041984119,9.614937708014622,14,0.013528165989555418,9.630446208058856,0,n,[0.0],[0.0],[0],[0],[0],[0.0004130839370191097],9.635690042050555,9.647589000298954,9.651058624964207,,,,,,,,,,
