thisRow.t,notes,block_breaks,welcome.started,continue_txt.started,welcome.stopped,mouse_1.x,mouse_1.y,mouse_1.leftButton,mouse_1.midButton,mouse_1.rightButton,mouse_1.time,mouse_1.corr,mouse_1.clicked_name,instructions.started,instruction_txt.started,participant,date,expName,psychopyVersion,frameRate,expStart,
,,y,0.04338404105510563,0.06230216601397842,2.2058223750209436,[-0.011111111111111112],[-0.5844444444444444],[1],[0],[0],[2.1616237920243293],[1],['continue_txt'],,,095245,2024-04-14_15h23.17.895,pedestal_cursor_ibl,2023.2.3,None,2024-04-14 15h23.27.092736 +0200,
,,,,,,,,,,,,,,2.20602541603148,2.2186584159499034,,,,,,,
