og_eccentricity,og_contrast,og_q,eccentricity,baseContrast,contrastDelta,q,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,thisRow.t,notes,block_breaks,instructions.started,instruction_txt.started,continue_txt_2.started,instructions.stopped,mouse_2.x,mouse_2.y,mouse_2.leftButton,mouse_2.midButton,mouse_2.rightButton,mouse_2.time,mouse_2.clicked_name,fix.started,signed_contrast,leftCont,rightCont,fixation_2.started,fixation_2.stopped,fix.stopped,trial.started,fixation.started,grating_l.started,grating_r.started,dot.started,mouse.started,sound_trial_start.started,sound_trial_start.stopped,reaction_time,response_time,trial.stopped,correct,timeout,dot_trajectory,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.time,feedback.started,feedback_sound.started,fixation_obj_2.started,feedback_sound.stopped,fixation_obj_2.stopped,feedback.stopped,participant,date,expName,psychopyVersion,frameRate,expStart,
,,,,,,,,,,,,,n,0.01156358397565782,0.020866542006842792,0.020866542006842792,0.4901500840205699,[-4.476713012949049],[10.121264203189153],[1],[0],[0],[0.4781676249112934],[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,135022,2024-04-15_12h39.40.986,pedestal_cursor_ibl,2023.2.3,None,2024-04-15 12h39.47.326004 +0200,
-35,1,0.61010396,-15,0.5,0.2,0.61010396,0,0,0,0,0.5975135419284925,,,,,,,,,,,,,,0.5810081249801442,-0.19999999999999996,0.7,0.5,0.5975135419284925,1.2209822919685394,1.1978387919953093,1.1978628339711577,1.2209822919685394,1.2209822919685394,1.2209822919685394,1.2209822919685394,0.010228458908386528,1.2138069585819418,1.3086134169716388,482,773,1.9716749169165269,1,0,"[-15.000000000000002, -15.000000000000002, -15.000000000000002, -15.000000000000002, -15.000000000000002, -15.000000000000002, -15.000000000000002, -15.000000000000002, -15.000000000000002, -15.000000000000002, -15.000000000000002, -15.000000000000002, -15.000000000000002, -15.000000000000002, -15.000000000000002, -15.000000000000002, -15.000000000000002, -15.000000000000002, -15.000000000000002, -15.000000000000002, -15.000000000000002, -15.000000000000002, -15.000000000000002, -15.000000000000002, -15.000000000000002, -15.000000000000002, -15.000000000000002, -15.000000000000002, -15.000000000000002, -15.000000000000002, -15.000000000000002, -15.000000000000002, -15.000000000000002, -15.000000000000002, -15.000000000000002, -15.000000000000002, -15.000000000000002, -15.000000000000002, -15.000000000000002, -15.000000000000002, -15.000000000000002, -15.000000000000002, -15.000000000000002, -15.000000000000002, -15.000000000000002, -15.000000000000002, -15.000000000000002, -15.000000000000002, -15.000000000000002, -15.000000000000002, -15.000000000000002, -15.000000000000002, -15.000000000000002, -15.000000000000002, -15.000000000000002, -14.951340075946208, -14.708040455677237, -14.318761063246885, -14.075461442977916, -13.734841974601359, -13.394222506224798, -13.05360303784824, -11.788445012449596, -11.447825544073037, -10.620606835158542, -9.890707974351628, -9.160809113544719, -8.57689002489919, -7.944311012199868, -7.4577117716619306, -6.922452607070196, -6.387193442478462, -5.900594201940519, -5.462654885456372, -5.024715568972228, -4.878735796810847, -4.294816708165319, -3.9541972397887584, -3.2729583030356437, -2.980998758712879, -2.980998758712879, -2.6403792903363215, -2.105120125744587, -2.105120125744587, -1.7158407333142343, -1.7158407333142343, -0.9372819484535313, -0.6453224041307681, -0.6453224041307681, -0.30470293575420904, 0.42519592505269976]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.04865992405379401, 0.29195954432276405, 0.6812389367531162, 0.9245385570220863, 1.265158025398644, 1.6057774937752023, 1.9463969621517605, 3.2115549875504046, 3.552174455926963, 4.379393164841461, 5.109292025648371, 5.839190886455281, 6.423109975100809, 7.055688987800132, 7.542288228338071, 8.077547392929805, 8.61280655752154, 9.09940579805948, 9.537345114543626, 9.975284431027772, 10.121264203189153, 10.705183291834683, 11.045802760211242, 11.727041696964356, 12.019001241287121, 12.019001241287121, 12.359620709663679, 12.894879874255412, 12.894879874255412, 13.284159266685766, 13.284159266685766, 14.062718051546469, 14.354677595869232, 14.354677595869232, 14.695297064245791, 15.4251959250527]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.04865992405379401, 0.04865992405379401, 0.09731984810758802, 0.24329962026897006, 0.29195954432276405, 0.3406194683765581, 0.4865992405379401, 0.5352591645917341, 0.5839190886455281, 0.632579012699322, 0.632579012699322, 0.6812389367531162, 0.6812389367531162, 0.6812389367531162, 0.6812389367531162, 0.6812389367531162, 0.6812389367531162, 0.6812389367531162, 0.6812389367531162, 0.6812389367531162, 0.6812389367531162, 0.6812389367531162, 0.6812389367531162, 0.6812389367531162, 0.632579012699322, 0.5839190886455281, 0.5839190886455281, 0.5352591645917341, 0.4379393164841461]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0.0005994999082759023, 0.013370250002481043, 0.020819416968151927, 0.027820082963444293, 0.038377749966457486, 0.04543345794081688, 0.05503791698720306, 0.06184933299664408, 0.07162895798683167, 0.07834866689518094, 0.08848770789336413, 0.1004635829012841, 0.10740787489339709, 0.12193666689563543, 0.12861062493175268, 0.13833845790941268, 0.1451148329069838, 0.1549310419941321, 0.16208074998576194, 0.17176737496629357, 0.17867004196159542, 0.1883581669535488, 0.1953236669069156, 0.2049686670070514, 0.2135318749351427, 0.2215787919703871, 0.22952562500722706, 0.23921033297665417, 0.24603658297564834, 0.2543166669784114, 0.26074220798909664, 0.2737935829209164, 0.28163999994285405, 0.28985758300404996, 0.29685170797165483, 0.3044430419104174, 0.3110721668926999, 0.32166266697458923, 0.32947274995967746, 0.3376485829940066, 0.3441825829213485, 0.35498783295042813, 0.3616589999292046, 0.37324254191480577, 0.37999991700053215, 0.38773899991065264, 0.3945721669588238, 0.40492466697469354, 0.4117164999479428, 0.42189491691533476, 0.43003833293914795, 0.4373587080044672, 0.4437774169491604, 0.4571896669222042, 0.4649210829520598, 0.4722217919770628, 0.4793332499684766, 0.4880001669516787, 0.4954514579148963, 0.5048122919397429, 0.5123156670015305, 0.5209932079305872, 0.5285477499710396, 0.5380371249048039, 0.5451611669268459, 0.555266874958761, 0.5623541249660775, 0.5718465829268098, 0.5789635420078412, 0.5886004169005901, 0.5954852919094265, 0.605177916935645, 0.6119504169328138, 0.6213507079519331, 0.6281345000024885, 0.6388490829849616, 0.6455853329971433, 0.6552795419702306, 0.6638298749458045, 0.6707766669569537, 0.677371957921423, 0.688608166994527, 0.6954912919318303, 0.70523779198993, 0.7120373329380527, 0.7220231669489294, 0.7288223329233006, 0.7379139579134062, 0.7448692079633474, 0.7556652079802006, 0.7625472919316962]",1.9733757089124992,1.9873852506900826,1.987011666991748,2.1809179169358686,2.982905749930069,2.9704909999854863,135022,2024-04-15_12h39.40.986,pedestal_cursor_ibl,2023.2.3,None,2024-04-15 12h39.47.326004 +0200,
-35,0.125,0.60337632,-15,0.5,0.05,0.60337632,0,1,1,1,2.982905749930069,,,,,,,,,,,,,,2.970748958992772,-0.050000000000000044,0.55,0.5,2.982905749930069,3.5877905000234023,3.570668249973096,3.570681958924979,3.5877905000234023,3.5877905000234023,3.5877905000234023,3.5877905000234023,0.008217833936214447,3.586927458589586,3.6968566669384018,360,859,4.430392166948877,0,0,"[-15.000000000000002, -15.000000000000002, -15.000000000000002, -15.000000000000002, -15.000000000000002, -15.000000000000002, -15.000000000000002, -15.000000000000002, -15.000000000000002, -15.000000000000002, -15.000000000000002, -15.000000000000002, -15.000000000000002, -15.000000000000002, -15.000000000000002, -15.000000000000002, -15.000000000000002, -15.000000000000002, -15.000000000000002, -15.000000000000002, -15.000000000000002, -15.000000000000002, -15.000000000000002, -15.000000000000002, -15.000000000000002, -15.000000000000002, -15.000000000000002, -15.000000000000002, -15.000000000000002, -15.000000000000002, -15.000000000000002, -15.000000000000002, -15.000000000000002, -15.000000000000002, -15.000000000000002, -15.000000000000002, -15.000000000000002, -15.000000000000002, -15.000000000000002, -15.048659924053796, -15.194639696215177, -15.38927939243035, -15.583919088645528, -15.583919088645528, -16.070518329183468, -16.31381794945244, -16.31381794945244, -17.09237673431314, -17.09237673431314, -17.578975974851083, -18.06557521538902, -18.357534759711786, -18.357534759711786, -18.698154228088338, -18.892793924303522, -19.0387736964649, -19.136093544572496, -19.233413392680077, -19.330733240787666, -19.379393164841467, -19.476713012949048, -19.574032861056637, -19.622692785110438, -19.671352709164225, -19.768672557271813, -19.8659924053794, -19.914652329433196, -20.060632101594578, -20.109292025648372, -20.30393172186355, -20.401251569971134, -20.644551190240097, -20.83919088645528, -21.033830582670458, -21.325790126993226, -21.666409595369778, -21.958369139692543, -22.104348911853926, -22.59094815239186, -22.736927924553253, -23.320847013198776, -23.320847013198776, -23.758786329682913, -23.758786329682913, -24.196725646167067, -24.391365342382244, -25.023944355081564, -25.023944355081564, -25.607863443727094, -25.89982298804986, -26.240442456426408, -26.240442456426408, -26.92168139317954, -26.92168139317954, -27.79756002614782, -28.235499342631964, -28.62477873506232, -29.16003789965405, -29.16003789965405, -30.03591653262235]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, -0.04865992405379401, -0.19463969621517604, -0.3892793924303521, -0.5839190886455281, -0.5839190886455281, -1.0705183291834681, -1.3138179494524382, -1.3138179494524382, -2.0923767343131425, -2.0923767343131425, -2.5789759748510828, -3.0655752153890226, -3.357534759711787, -3.357534759711787, -3.6981542280883453, -3.892793924303521, -4.038773696464903, -4.136093544572491, -4.233413392680078, -4.330733240787667, -4.379393164841461, -4.476713012949049, -4.5740328610566365, -4.622692785110432, -4.671352709164225, -4.768672557271813, -4.865992405379401, -4.914652329433195, -5.060632101594576, -5.109292025648371, -5.303931721863547, -5.4012515699711345, -5.644551190240105, -5.839190886455281, -6.033830582670457, -6.325790126993221, -6.666409595369779, -6.958369139692543, -7.104348911853926, -7.590948152391866, -7.736927924553247, -8.320847013198776, -8.320847013198776, -8.758786329682922, -8.758786329682922, -9.196725646167067, -9.391365342382244, -10.023944355081566, -10.023944355081566, -10.607863443727094, -10.89982298804986, -11.240442456426416, -11.240442456426416, -11.921681393179531, -11.921681393179531, -12.797560026147824, -13.235499342631972, -13.624778735062323, -14.160037899654057, -14.160037899654057, -15.035916532622348]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, -0.04865992405379401, -0.04865992405379401, -0.14597977216138203, -0.19463969621517604, -0.19463969621517604, -0.3406194683765581, -0.3406194683765581, -0.4379393164841461, -0.4865992405379401, -0.4865992405379401, -0.4865992405379401, -0.5839190886455281, -0.5839190886455281, -0.5839190886455281, -0.632579012699322, -0.632579012699322, -0.632579012699322, -0.632579012699322, -0.632579012699322, -0.6812389367531162, -0.6812389367531162, -0.6812389367531162, -0.6812389367531162, -0.7298988608069101, -0.7298988608069101, -0.7298988608069101, -0.7298988608069101, -0.7785587848607042, -0.8272187089144982, -0.8272187089144982, -0.8758786329682922, -0.9245385570220863, -0.9731984810758803, -0.9731984810758803, -1.0218584051296742, -1.0705183291834681, -1.1191782532372623, -1.1191782532372623, -1.1678381772910562, -1.1678381772910562, -1.2164981013448501, -1.2164981013448501, -1.2164981013448501, -1.265158025398644, -1.3138179494524382, -1.3138179494524382, -1.3138179494524382, -1.3138179494524382, -1.3138179494524382, -1.3138179494524382, -1.3624778735062324, -1.3624778735062324, -1.4111377975600263, -1.4597977216138203, -1.4597977216138203, -1.5084576456676142, -1.5084576456676142, -1.5571175697214084]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0.0002609170041978359, 0.009071375010535121, 0.01744300010614097, 0.02438533306121826, 0.03430437506176531, 0.04102195810992271, 0.05083550000563264, 0.05755654210224748, 0.06755008304025978, 0.07437275000847876, 0.08420712500810623, 0.0908926670672372, 0.11973087501246482, 0.13591229205485433, 0.1433414580533281, 0.149838958051987, 0.15627508307807148, 0.1697864580200985, 0.17688791709952056, 0.18340908305253834, 0.18981850007548928, 0.20292470802087337, 0.2100065000122413, 0.21689812501426786, 0.22342341707553715, 0.23617487505543977, 0.24451195809524506, 0.2528876670403406, 0.2596958330832422, 0.2674000420374796, 0.2741083330474794, 0.28472295810934156, 0.2913097080308944, 0.30205150006804615, 0.30888433300424367, 0.31685970805119723, 0.32340200000908226, 0.33601045806426555, 0.3442285000346601, 0.35136775008868426, 0.35855825000908226, 0.36694200010970235, 0.37424366699997336, 0.3849934170721099, 0.391682583023794, 0.4002380830934271, 0.40729350002948195, 0.41688950010575354, 0.42388745804782957, 0.43425012507941574, 0.4417787080164999, 0.45068508305121213, 0.4576563750160858, 0.4669570830883458, 0.4744700830196962, 0.48360566701740026, 0.4909500000067055, 0.50062691711355, 0.5081444580573589, 0.517259000102058, 0.5245947920484468, 0.5339350420981646, 0.5411135000176728, 0.5506086250534281, 0.5576860420405865, 0.5678343750769272, 0.5748978750780225, 0.5838261250173673, 0.5908775000134483, 0.6009876250755042, 0.6080316250445321, 0.6174194581108168, 0.6244397920090705, 0.634511417010799, 0.6416346250334755, 0.6512245830381289, 0.6582377920858562, 0.6678061670390889, 0.6748997920658439, 0.6843830830184743, 0.6911199170863256, 0.7011966670397669, 0.7082529170438647, 0.7172628330299631, 0.7241477500647306, 0.7345798331080005, 0.7412703750887886, 0.7513322921004146, 0.7581044581020251, 0.766971500008367, 0.7738910000771284, 0.784823750029318, 0.7913075420074165, 0.8013667920604348, 0.8080264170421287, 0.8175521671073511, 0.8244920000433922, 0.8336100000888109, 0.8400697920005769, 0.8504812080645934]",4.432045083958656,4.446078250595989,4.447553250007331,4.942477584001608,6.445082166930661,6.431123791960999,135022,2024-04-15_12h39.40.986,pedestal_cursor_ibl,2023.2.3,None,2024-04-15 12h39.47.326004 +0200,
-35,1,0.61869807,-15,0.5,0.2,0.61869807,0,2,2,2,6.445082166930661,,,,,,,,,,,,,,6.431669374927878,-0.19999999999999996,0.7,0.5,6.445082166930661,7.067195583949797,7.0480850000167266,7.0481104999780655,7.067195583949797,7.067195583949797,7.067195583949797,7.067195583949797,0.010202875011600554,7.0640984166568765,7.166483209002763,448,639,7.688366624992341,1,0,"[-15.000000000000002, -15.000000000000002, -15.000000000000002, -15.000000000000002, -15.000000000000002, -15.000000000000002, -15.000000000000002, -15.000000000000002, -15.000000000000002, -15.000000000000002, -15.000000000000002, -15.000000000000002, -15.000000000000002, -15.000000000000002, -15.000000000000002, -15.000000000000002, -15.000000000000002, -15.000000000000002, -15.000000000000002, -15.000000000000002, -15.000000000000002, -15.000000000000002, -15.000000000000002, -15.000000000000002, -15.000000000000002, -15.000000000000002, -15.000000000000002, -15.000000000000002, -15.000000000000002, -15.000000000000002, -15.000000000000002, -15.000000000000002, -15.000000000000002, -15.000000000000002, -15.000000000000002, -15.000000000000002, -15.000000000000002, -15.000000000000002, -15.000000000000002, -15.000000000000002, -15.000000000000002, -15.000000000000002, -15.000000000000002, -15.000000000000002, -15.000000000000002, -15.000000000000002, -15.000000000000002, -15.000000000000002, -15.000000000000002, -15.000000000000002, -15.000000000000002, -14.756700379731027, -14.513400759462062, -14.221441215139297, -13.442882430278592, -13.442882430278592, -11.59380531623442, -11.59380531623442, -10.37730721488957, -9.40410873381369, -9.40410873381369, -8.57689002489919, -6.776472834908812, -5.803274353832933, -4.976055644918436, -4.976055644918436, -3.5162579233046127, -2.932338834659086, -2.932338834659086, -1.7158407333142343, -1.1805815687225003, -0.7426422522383547, -0.596662480076974, -0.15872316359282657, 0.08457645667614244]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.24329962026897006, 0.4865992405379401, 0.7785587848607042, 1.5571175697214084, 1.5571175697214084, 3.4061946837655808, 3.4061946837655808, 4.622692785110432, 5.595891266186311, 5.595891266186311, 6.423109975100809, 8.223527165091188, 9.196725646167067, 10.023944355081566, 10.023944355081566, 11.483742076695387, 12.067661165340914, 12.067661165340914, 13.284159266685766, 13.8194184312775, 14.257357747761645, 14.403337519923026, 14.841276836407173, 15.084576456676142]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0.0002721250057220459, 0.009116749977692962, 0.021765584009699523, 0.028642541961744428, 0.03819462493993342, 0.045082458993420005, 0.054868374951183796, 0.06167891703080386, 0.07109512493479997, 0.07833337492775172, 0.08796179201453924, 0.09467304195277393, 0.10821666696574539, 0.12160462501924485, 0.12822279194369912, 0.13826199993491173, 0.1448951669735834, 0.15477704198565334, 0.1633289169985801, 0.17093370901420712, 0.1777654589386657, 0.18814179196488112, 0.1949192089959979, 0.20661624998319894, 0.21338299999479204, 0.22088566701859236, 0.2272106669843197, 0.23859787499532104, 0.24518541700672358, 0.25483458396047354, 0.2632481249747798, 0.2708529169904068, 0.27739620895590633, 0.2905371669912711, 0.29941083397716284, 0.3062017089687288, 0.31260345899499953, 0.3212273339740932, 0.32787529192864895, 0.33994845894631, 0.34739875001832843, 0.3538895839592442, 0.360424124985002, 0.3733812499558553, 0.380905875004828, 0.3874375419691205, 0.39394124993123114, 0.4068186669610441, 0.4141720839543268, 0.4211032090242952, 0.42833499994594604, 0.43838091695215553, 0.4455032090190798, 0.45510629191994667, 0.4620587920071557, 0.47117366699967533, 0.47838995896745473, 0.48862358392216265, 0.49574962502811104, 0.5042150419903919, 0.5113229589769617, 0.5220872500212863, 0.5288996669696644, 0.5376357500208542, 0.544493000023067, 0.555363958934322, 0.5620856669265777, 0.5709165839944035, 0.5773812499828637, 0.5878902919357643, 0.5949349999427795, 0.6046350839314982, 0.6115956669673324, 0.6217434999998659, 0.6290229170117527]",7.689597458927892,7.703707375625769,7.713068124954589,7.896441541961394,8.710915791918524,8.697858750005253,135022,2024-04-15_12h39.40.986,pedestal_cursor_ibl,2023.2.3,None,2024-04-15 12h39.47.326004 +0200,
,,,,,,,,,,,8.710915791918524,,,,,,,,,,,,,,8.698394167004153,0.020000000000000018,0.5,0.52,8.710915791918524,9.270333542022854,9.25400858395733,9.25402120896615,9.270333542022854,9.270333542022854,9.270333542022854,9.270333542022854,0.007629583007656038,9.270291541648719,9.364295499981381,,,,,,,,,,,,,,,,,,,,,,,,,
