thisRow.t,notes,block_breaks,welcome.started,continue_txt.started,welcome.stopped,mouse_1.x,mouse_1.y,mouse_1.leftButton,mouse_1.midButton,mouse_1.rightButton,mouse_1.time,mouse_1.clicked_name,instructions.started,instruction_txt.started,participant,date,expName,psychopyVersion,frameRate,expStart,
,,n,0.06199166702572256,0.0780919580720365,1.3195334580959752,[-4.038773696464903],[5.1579519497021655],[1],[0],[0],[1.2568991669686511],[],,,288804,2024-04-14_15h15.29.244,pedestal_cursor_ibl,2023.2.3,None,2024-04-14 15h15.38.547187 +0200,
,,,,,,,,,,,,,1.3197209580102935,1.3267763330368325,,,,,,,
