biasPoint,contrast_gr,block.thisRepN,block.thisTrialN,block.thisN,block.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,thisRow.t,notes,set_bias_condition.started,bias_file,bias_yn,set_bias_condition.stopped,fix.started,iti,grating_side,biasPoint,eccentricity,fix.stopped,trial.started,trial.stopped,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.time,mouse.clicked_name,feedback.started,fdbck.started,fdbck.stopped,feedback.stopped,participant,date,expName,psychopyVersion,frameRate,expStart,
0.8,0.03,0,0,0,0,0,0,0,0,0.054630625003483146,,0.0143902080017142,bias_block.xlsx,1,0.015192791004665196,0.03624429099727422,1.5512455252790418,-1,0.8,-0.35,1.5937713749881368,1.593804582982557,2.7432887079776265,"[-0.35, -0.35, -0.35, -0.35, -0.35, -0.35, -0.35, -0.35, -0.35, -0.35, -0.35, -0.35, -0.35, -0.35, -0.35, -0.35, -0.35, -0.35, -0.35, -0.35, -0.35, -0.35, -0.35, -0.35, -0.35, -0.35, -0.35, -0.35, -0.35, -0.35, -0.35, -0.35, -0.35, -0.35, -0.35, -0.35, -0.35, -0.35, -0.35, -0.35, -0.35, -0.35, -0.35, -0.35, -0.35, -0.35, -0.35, -0.35, -0.35, -0.35, -0.35, -0.35, -0.35, -0.35, -0.35, -0.35, -0.3466666666666667, -0.3433333333333333, -0.3388888888888889, -0.33444444444444443, -0.3233333333333333, -0.3233333333333333, -0.3088888888888889, -0.3011111111111111, -0.29333333333333333, -0.28555555555555556, -0.2777777777777778, -0.27, -0.2611111111111111, -0.2577777777777778, -0.2577777777777778, -0.24333333333333335, -0.23666666666666666, -0.22666666666666666, -0.22333333333333333, -0.21888888888888888, -0.2088888888888889, -0.20666666666666667, -0.19666666666666666, -0.1922222222222222, -0.18555555555555556, -0.18333333333333332, -0.17888888888888888, -0.17222222222222222, -0.1622222222222222, -0.1622222222222222, -0.15333333333333332, -0.15333333333333332, -0.14333333333333334, -0.13777777777777778, -0.13777777777777778, -0.13, -0.12555555555555556, -0.12111111111111111, -0.11555555555555555, -0.1111111111111111, -0.10777777777777778, -0.10444444444444445, -0.09888888888888889, -0.09555555555555556, -0.09222222222222222, -0.09, -0.08666666666666667, -0.08444444444444445, -0.07777777777777778, -0.07777777777777778, -0.07333333333333333, -0.07333333333333333, -0.06777777777777778, -0.06666666666666667, -0.06444444444444444, -0.06333333333333334, -0.06111111111111111, -0.058888888888888886, -0.057777777777777775, -0.056666666666666664, -0.05444444444444444, -0.05333333333333334, -0.052222222222222225, -0.051111111111111114, -0.05, -0.04888888888888889, -0.04888888888888889, -0.04777777777777778, -0.04555555555555556, -0.04555555555555556, -0.044444444444444446, -0.043333333333333335, -0.042222222222222223, -0.04, -0.03888888888888889, -0.03777777777777778, -0.035555555555555556, -0.034444444444444444]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, -0.0011111111111111111, -0.0011111111111111111, -0.0011111111111111111, -0.0022222222222222222, -0.0022222222222222222, -0.0022222222222222222, -0.0022222222222222222, -0.0022222222222222222, -0.0022222222222222222, -0.0033333333333333335, -0.0033333333333333335, -0.0033333333333333335, -0.0044444444444444444, -0.0044444444444444444, -0.0044444444444444444, -0.0044444444444444444, -0.0044444444444444444, -0.0044444444444444444, -0.0044444444444444444, -0.0044444444444444444, -0.0044444444444444444, -0.0044444444444444444, -0.0044444444444444444, -0.0044444444444444444, -0.0033333333333333335, -0.0033333333333333335, -0.0022222222222222222, -0.0011111111111111111, -0.0011111111111111111, -0.0011111111111111111, 0.0, 0.0, 0.0, 0.0, 0.0011111111111111111, 0.0011111111111111111, 0.0011111111111111111, 0.0011111111111111111, 0.0022222222222222222, 0.0022222222222222222, 0.0022222222222222222, 0.0022222222222222222, 0.0022222222222222222, 0.0022222222222222222, 0.0022222222222222222, 0.0022222222222222222, 0.0022222222222222222, 0.0022222222222222222, 0.0022222222222222222, 0.0022222222222222222, 0.0022222222222222222, 0.0022222222222222222, 0.0022222222222222222, 0.0022222222222222222, 0.0022222222222222222, 0.0022222222222222222, 0.0022222222222222222, 0.0022222222222222222, 0.0022222222222222222, 0.0022222222222222222, 0.0022222222222222222, 0.0022222222222222222]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0.000512875005370006, 0.014280791016062722, 0.021107208012836054, 0.02751566600636579, 0.038021333020878956, 0.04438737500458956, 0.05468404100975022, 0.061069333023624495, 0.07143987499875948, 0.077805041015381, 0.0881470000022091, 0.09511424999800511, 0.10445562499808148, 0.11093329099821858, 0.12153983302414417, 0.12816650001332164, 0.13776700000744313, 0.14451287500560284, 0.15497541602235287, 0.1623418329982087, 0.171092625008896, 0.17783462500665337, 0.18817108302027918, 0.1949551250145305, 0.20445437502348796, 0.21111495801596902, 0.22150112502276897, 0.22813808300998062, 0.23776333301793784, 0.24427675001788884, 0.2546602500078734, 0.26105833300971426, 0.27155400000629015, 0.2782767910102848, 0.2878255410178099, 0.294597166008316, 0.3048972910037264, 0.3117584580031689, 0.3211670410237275, 0.3276271250215359, 0.33849991601891816, 0.3451142910053022, 0.354378041025484, 0.36085312502109446, 0.37152050001895986, 0.38007508299779147, 0.38777637502062134, 0.3942000000097323, 0.4046830410079565, 0.41113395799766295, 0.42142091601272114, 0.42790045801666565, 0.43806375001440756, 0.444440040999325, 0.45471145800547674, 0.46119537501363084, 0.4750152910128236, 0.4885243750177324, 0.4953532910149079, 0.5046040000161156, 0.5111283750156872, 0.5217387080192566, 0.5286000830237754, 0.5382164160255343, 0.5448979580251034, 0.553912625007797, 0.5606269580021035, 0.5712772080150899, 0.5780779159977101, 0.5872947500029113, 0.5938212500186637, 0.604279666004004, 0.6112434160022531, 0.6215547080209944, 0.6282312080147676, 0.6380277910211589, 0.6448689580138307, 0.6549525000154972, 0.6618506660161074, 0.6709846660087351, 0.6775334580161143, 0.6882449999975506, 0.6947891250019893, 0.7049439580005128, 0.7117108330130577, 0.7215023750031833, 0.7279864580195863, 0.7383056660182774, 0.7448899160081055, 0.7539453750068787, 0.7605547910206951, 0.7713900410162751, 0.7782100410258863, 0.7879222909978125, 0.7950706249976065, 0.8052578330098186, 0.81199570800527, 0.8208350830245763, 0.8276857080054469, 0.8384222080057953, 0.8450116660096683, 0.8546468330023345, 0.8611849160224665, 0.8716804160212632, 0.8782285000197589, 0.8884992910025176, 0.8947403330239467, 0.904959500010591, 0.9115060830081347, 0.920518291008193, 0.9272673750238027, 0.9379425829974934, 0.9449512910214253, 0.9537958750152029, 0.960687125014374, 0.9720926660229452, 0.9791179160238244, 0.988124791008886, 0.9951060000166763, 1.004771375010023, 1.0117322500154842, 1.0208122080075555, 1.0273516660090536, 1.0382582080201246, 1.0447903330205008, 1.0551614160067402, 1.0620812910201494, 1.0710779580113012, 1.0780651250097435, 1.0872472500195727, 1.0940274580207188, 1.1046787910163403, 1.1118850409984589, 1.1204870410147123]",[],2.7464543329842854,2.7561428329790942,3.2641202909871936,3.243602375005139,585125,2024-03-27_17h01.22.752,mouse_version_ibl,2023.2.3,None,2024-03-27 17h01.30.046113 +0100,
0.8,0.75,0,0,0,0,0,1,1,9,3.2641202909871936,,,,,,3.2440221249999013,2.372283040378007,1,0.8,0.35,5.6274477079859935,5.627477582980646,6.210256291000405,"[0.35, 0.35, 0.35, 0.35, 0.35, 0.35, 0.35, 0.35, 0.35, 0.35, 0.35, 0.35, 0.35, 0.35, 0.35, 0.35, 0.35, 0.35, 0.35, 0.35, 0.35, 0.35, 0.35, 0.35, 0.35, 0.35, 0.35, 0.35, 0.35, 0.35, 0.35, 0.35, 0.35, 0.35, 0.35, 0.35, 0.35, 0.35, 0.35, 0.35, 0.35, 0.35, 0.35, 0.3488888888888889, 0.3288888888888889, 0.3188888888888889, 0.30777777777777776, 0.29555555555555557, 0.2733333333333333, 0.23555555555555555, 0.23555555555555555, 0.18666666666666668, 0.16777777777777778, 0.1511111111111111, 0.1511111111111111, 0.12333333333333334, 0.11333333333333333, 0.10333333333333333, 0.09444444444444444, 0.08666666666666667, 0.07666666666666666, 0.06888888888888889, 0.058888888888888886, 0.051111111111111114, 0.043333333333333335, 0.04, 0.027777777777777776]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0011111111111111111, 0.0044444444444444444, 0.006666666666666667, 0.006666666666666667, 0.012222222222222223, 0.014444444444444444, 0.016666666666666666, 0.017777777777777778, 0.02, 0.02, 0.021111111111111112, 0.021111111111111112, 0.021111111111111112, 0.021111111111111112, 0.021111111111111112, 0.021111111111111112]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0.0005803749954793602, 0.010227416001725942, 0.017748790996847674, 0.03203916599159129, 0.03889558298396878, 0.04794945797766559, 0.05469499999890104, 0.06498533298145048, 0.07177779098856263, 0.0812820409773849, 0.08789758299826644, 0.09834970798692666, 0.10495574999367818, 0.11467858299147338, 0.12132733297767118, 0.13165654099429958, 0.13844133299426176, 0.14798520799377002, 0.15476866599055938, 0.1649737499828916, 0.1716513749852311, 0.18140062497695908, 0.18823754097684287, 0.19792316597886384, 0.20467854099115357, 0.2150200829782989, 0.22177570799249224, 0.23127545797615312, 0.23799691599560902, 0.24840124999172986, 0.25523058298858814, 0.2646603749890346, 0.2713461660023313, 0.28168862499296665, 0.2884992499893997, 0.29801712499465793, 0.30474324998795055, 0.31507408298784867, 0.32243254099739715, 0.3312082499905955, 0.3376545409846585, 0.3482386249816045, 0.35546591598540545, 0.36783366597956046, 0.3822547079762444, 0.38925308297621086, 0.3982972909871023, 0.40520208299858496, 0.41484329098602757, 0.4214958749944344, 0.4319275409798138, 0.438986458000727, 0.4478781249781605, 0.4546871659986209, 0.4652803329809103, 0.4721863329759799, 0.4808765409979969, 0.48768274998292327, 0.4981783749826718, 0.5049743749841582, 0.5148025829985272, 0.5214216249878518, 0.53210566600319, 0.539456665981561, 0.5484303330013063, 0.5555636659846641, 0.5643457909754943]",[],6.211903332994552,6.217513165989658,6.733929582987912,6.71027470799163,585125,2024-03-27_17h01.22.752,mouse_version_ibl,2023.2.3,None,2024-03-27 17h01.30.046113 +0100,
0.8,0.125,0,0,0,0,0,2,2,7,6.733929582987912,,,,,,6.710760332993232,2.460456250181563,-1,0.8,-0.35,9.183287124993512,9.183313040994108,9.761550124996575,"[-0.35, -0.35, -0.35, -0.35, -0.35, -0.35, -0.35, -0.35, -0.35, -0.35, -0.35, -0.35, -0.35, -0.35, -0.35, -0.35, -0.35, -0.35, -0.35, -0.35, -0.35, -0.35, -0.35, -0.35, -0.35, -0.35, -0.35, -0.35, -0.35, -0.35, -0.35, -0.35, -0.35, -0.35, -0.35, -0.35, -0.35, -0.35, -0.35, -0.35, -0.35, -0.35, -0.35, -0.35, -0.35, -0.35, -0.35, -0.35, -0.35, -0.35, -0.35, -0.35, -0.35, -0.35, -0.35, -0.35, -0.35444444444444445, -0.35444444444444445, -0.36666666666666664, -0.37333333333333335, -0.38, -0.38555555555555554, -0.39222222222222225, -0.4033333333333333, -0.41555555555555557, -0.42777777777777776, -0.4411111111111111, -0.45555555555555555]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, -0.0011111111111111111, -0.0022222222222222222, -0.0033333333333333335, -0.0044444444444444444, -0.0044444444444444444, -0.0044444444444444444, -0.0044444444444444444]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0.0005196249985601753, 0.009994291001930833, 0.016773165989434347, 0.026059124997118488, 0.0329910000145901, 0.04282450000755489, 0.04947016600635834, 0.0596704579947982, 0.0663909160066396, 0.07602041598875076, 0.08276266598841175, 0.0930776660097763, 0.09976391599047929, 0.10943912499351427, 0.11615725001320243, 0.1264356659958139, 0.13313945799018256, 0.142821624991484, 0.1494620000012219, 0.1599219159979839, 0.16700066599878483, 0.17607941600726917, 0.18277837499044836, 0.19314629101427272, 0.20019274999503978, 0.20946054099476896, 0.21612029100651853, 0.22642029100097716, 0.23312491600518115, 0.24290995800402015, 0.24960849998751655, 0.259437083004741, 0.2663604159897659, 0.27616054099053144, 0.282830375013873, 0.2931112500082236, 0.29985562499496154, 0.30936824998934753, 0.3160403330111876, 0.3264186659944244, 0.3330429159977939, 0.3425957080035005, 0.34903266601031646, 0.359695457998896, 0.366007125005126, 0.3763273330114316, 0.38294858299195766, 0.39294049999443814, 0.3994747500109952, 0.409689291001996, 0.41643425001529977, 0.4260236250120215, 0.43266487499931827, 0.4431047080142889, 0.4497357910149731, 0.4598272500152234, 0.4670265410095453, 0.47638524998910725, 0.48350183299044147, 0.492253125004936, 0.49909754100372083, 0.5096181659901049, 0.5174672080029268, 0.525891249999404, 0.5332239579875022, 0.5431149580108467, 0.5496958330040798, 0.5603882079885807]",[],9.763223290996393,9.768849749991205,10.280367915984243,10.260551999992458,585125,2024-03-27_17h01.22.752,mouse_version_ibl,2023.2.3,None,2024-03-27 17h01.30.046113 +0100,
0.8,0.125,0,0,0,0,0,3,3,12,10.280367915984243,,,,,,10.260895124985836,2.168773410488897,1,0.8,0.35,12.432625665998785,12.432650790986372,12.94476220800425,"[0.35, 0.35, 0.35, 0.35, 0.35, 0.35, 0.35, 0.35, 0.35, 0.35, 0.35, 0.35, 0.35, 0.35, 0.35, 0.35, 0.35, 0.35, 0.35, 0.35, 0.35, 0.35, 0.35, 0.35, 0.35, 0.35, 0.35, 0.35, 0.35, 0.35, 0.35, 0.35, 0.35, 0.35, 0.35, 0.35, 0.35, 0.35, 0.35, 0.35, 0.35, 0.35, 0.35, 0.35, 0.35, 0.35, 0.35, 0.3522222222222222, 0.35444444444444445, 0.3566666666666667, 0.3622222222222222, 0.3655555555555556, 0.3844444444444444, 0.3844444444444444, 0.4066666666666667, 0.4066666666666667, 0.42777777777777776, 0.44, 0.44, 0.45111111111111113]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, -0.0011111111111111111, -0.0022222222222222222, -0.0022222222222222222, -0.0033333333333333335, -0.0033333333333333335, -0.005555555555555556, -0.005555555555555556, -0.005555555555555556, -0.006666666666666667]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0.0005156660045031458, 0.010333458019886166, 0.017203416005941108, 0.026678916008677334, 0.03349179102224298, 0.043866166000952944, 0.05132675002096221, 0.06012137501966208, 0.06722683299449272, 0.07607900002039969, 0.08292354102013633, 0.09368416600045748, 0.10038012501900084, 0.10993404101463966, 0.11664575000759214, 0.12665491600637324, 0.13355912500992417, 0.14270150000811554, 0.1493659999978263, 0.16044220799813047, 0.1676959159958642, 0.17654766602208838, 0.18317833301262, 0.19377166600315832, 0.20096462502260692, 0.2100364580110181, 0.2174172500090208, 0.22674541600281373, 0.23392675002105534, 0.2433897500159219, 0.2505946250166744, 0.2599211250199005, 0.266856625006767, 0.27672229101881385, 0.2834437080018688, 0.29375275000347756, 0.3010228330094833, 0.3099272910039872, 0.3165883330220822, 0.32695474999491125, 0.3337407910148613, 0.3432507910183631, 0.35001433300203644, 0.36036445799982175, 0.36699770801351406, 0.3766507910040673, 0.3836166660184972, 0.3939747500116937, 0.40097145800245926, 0.4100138329959009, 0.4167419580044225, 0.42712770801153965, 0.43376174999866635, 0.4428825000068173, 0.4492973330197856, 0.46086879100766964, 0.4674480000103358, 0.47590966601273976, 0.48212420800700784, 0.4939930000109598]",[],12.946333250001771,12.952698957989924,13.464154165994842,13.444146915979218,585125,2024-03-27_17h01.22.752,mouse_version_ibl,2023.2.3,None,2024-03-27 17h01.30.046113 +0100,
