12.3866 	EXP 	fixation: foreColor = <psychopy.colors.Color: transparent, alpha=1.0>
12.3866 	EXP 	fixation: texRes = 128.0
12.3866 	EXP 	fixation: autoDraw = True
12.3866 	EXP 	grating: autoDraw = True
13.1821 	EXP 	New trial (rep=4, index=0): None
13.1822 	EXP 	window1: mouseVisible = False
13.1978 	EXP 	fixation: autoDraw = False
13.1978 	EXP 	grating: autoDraw = False
13.1978 	EXP 	fixation_2: foreColor = <psychopy.colors.Color: white, alpha=1.0>
13.1978 	EXP 	fixation_2: texRes = 128.0
13.1978 	EXP 	fixation_2: autoDraw = True
15.2533 	EXP 	fixation_2: autoDraw = False
15.2533 	EXP 	fixation_2: autoDraw = False
15.2533 	EXP 	fixation: foreColor = <psychopy.colors.Color: transparent, alpha=1.0>
15.2533 	EXP 	fixation: texRes = 128.0
15.2533 	EXP 	fixation: autoDraw = True
15.2533 	EXP 	grating: autoDraw = True
15.8048 	EXP 	New trial (rep=5, index=0): None
15.8049 	EXP 	window1: mouseVisible = False
15.8210 	EXP 	fixation: autoDraw = False
15.8210 	EXP 	grating: autoDraw = False
15.8210 	EXP 	fixation_2: foreColor = <psychopy.colors.Color: white, alpha=1.0>
15.8210 	EXP 	fixation_2: texRes = 128.0
15.8210 	EXP 	fixation_2: autoDraw = True
18.3762 	EXP 	fixation_2: autoDraw = False
18.3762 	EXP 	fixation_2: autoDraw = False
18.3762 	EXP 	fixation: foreColor = <psychopy.colors.Color: transparent, alpha=1.0>
18.3762 	EXP 	fixation: texRes = 128.0
18.3762 	EXP 	fixation: autoDraw = True
18.3762 	EXP 	grating: autoDraw = True
18.8316 	EXP 	New trial (rep=6, index=0): None
18.8317 	EXP 	window1: mouseVisible = False
18.8491 	EXP 	fixation: autoDraw = False
18.8491 	EXP 	grating: autoDraw = False
18.8491 	EXP 	fixation_2: foreColor = <psychopy.colors.Color: white, alpha=1.0>
18.8491 	EXP 	fixation_2: texRes = 128.0
18.8491 	EXP 	fixation_2: autoDraw = True
19.8915 	EXP 	fixation_2: autoDraw = False
19.8915 	EXP 	fixation_2: autoDraw = False
19.8915 	EXP 	fixation: foreColor = <psychopy.colors.Color: transparent, alpha=1.0>
19.8915 	EXP 	fixation: texRes = 128.0
19.8915 	EXP 	fixation: autoDraw = True
19.8915 	EXP 	grating: autoDraw = True
20.5484 	EXP 	New trial (rep=7, index=0): None
20.5485 	EXP 	window1: mouseVisible = False
20.5655 	EXP 	fixation: autoDraw = False
20.5655 	EXP 	grating: autoDraw = False
20.5655 	EXP 	fixation_2: foreColor = <psychopy.colors.Color: white, alpha=1.0>
20.5655 	EXP 	fixation_2: texRes = 128.0
20.5655 	EXP 	fixation_2: autoDraw = True
23.4703 	EXP 	fixation_2: autoDraw = False
23.4703 	EXP 	fixation_2: autoDraw = False
23.4703 	EXP 	fixation: foreColor = <psychopy.colors.Color: transparent, alpha=1.0>
23.4703 	EXP 	fixation: texRes = 128.0
23.4703 	EXP 	fixation: autoDraw = True
23.4703 	EXP 	grating: autoDraw = True
24.4321 	EXP 	New trial (rep=8, index=0): None
24.4322 	EXP 	window1: mouseVisible = False
24.4482 	EXP 	fixation: autoDraw = False
24.4482 	EXP 	grating: autoDraw = False
24.4482 	EXP 	fixation_2: foreColor = <psychopy.colors.Color: white, alpha=1.0>
24.4482 	EXP 	fixation_2: texRes = 128.0
24.4482 	EXP 	fixation_2: autoDraw = True
26.8201 	EXP 	fixation_2: autoDraw = False
26.8201 	EXP 	fixation_2: autoDraw = False
26.8201 	EXP 	fixation: foreColor = <psychopy.colors.Color: transparent, alpha=1.0>
26.8201 	EXP 	fixation: texRes = 128.0
26.8201 	EXP 	fixation: autoDraw = True
26.8201 	EXP 	grating: autoDraw = True
27.7056 	EXP 	New trial (rep=9, index=0): None
27.7057 	EXP 	window1: mouseVisible = False
27.7218 	EXP 	fixation: autoDraw = False
27.7218 	EXP 	grating: autoDraw = False
27.7218 	EXP 	fixation_2: foreColor = <psychopy.colors.Color: white, alpha=1.0>
27.7218 	EXP 	fixation_2: texRes = 128.0
27.7218 	EXP 	fixation_2: autoDraw = True
30.2876 	EXP 	fixation_2: autoDraw = False
30.2876 	EXP 	fixation_2: autoDraw = False
30.2876 	EXP 	fixation: foreColor = <psychopy.colors.Color: transparent, alpha=1.0>
30.2876 	EXP 	fixation: texRes = 128.0
30.2876 	EXP 	fixation: autoDraw = True
30.2876 	EXP 	grating: autoDraw = True
31.1707 	EXP 	fixation: autoDraw = False
31.1707 	EXP 	grating: autoDraw = False
31.1707 	EXP 	mouse_version_ibl: status = STOPPED
31.2251 	EXP 	window1: mouseVisible = True
