biasPoint,contrast_gr,block.thisRepN,block.thisTrialN,block.thisN,block.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,thisRow.t,notes,set_bias_condition.started,bias_file,bias_yn,set_bias_condition.stopped,fix.started,iti,grating_side,biasPoint,eccentricity,fix.stopped,trial.started,trial.stopped,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.time,mouse.clicked_name,feedback.started,fdbck.started,feedback.stopped,fdbck.stopped,participant,date,expName,psychopyVersion,frameRate,expStart,
0.5,0.75,0,0,0,0,0,0,0,14,0.051533207995817065,,0.015256207989295945,nobias_block.xlsx,0,0.016034208005294204,0.03223874999093823,1.0470856983901384,-1,0.5,-0.35,1.093085708009312,1.0931196669989731,2.432191125000827,"[-0.35, -0.35, -0.35, -0.35, -0.35, -0.35, -0.35, -0.35, -0.35, -0.35, -0.35, -0.35, -0.35, -0.35, -0.35, -0.35, -0.35, -0.35, -0.35, -0.35, -0.35, -0.35, -0.35, -0.35, -0.35, -0.35, -0.35, -0.35, -0.35, -0.35, -0.35, -0.35, -0.35, -0.35, -0.35, -0.35, -0.35, -0.35, -0.35, -0.35, -0.35, -0.35, -0.35, -0.35, -0.35, -0.35, -0.35, -0.35, -0.35, -0.35, -0.35, -0.35, -0.35, -0.35, -0.35, -0.35, -0.35, -0.35, -0.35, -0.35, -0.35, -0.35, -0.35, -0.35, -0.35, -0.35, -0.35, -0.35, -0.35, -0.35, -0.35, -0.35, -0.35, -0.35, -0.35, -0.35, -0.35, -0.3466666666666667, -0.34444444444444444, -0.3388888888888889, -0.3333333333333333, -0.3277777777777778, -0.3211111111111111, -0.31444444444444447, -0.30666666666666664, -0.29888888888888887, -0.2911111111111111, -0.2833333333333333, -0.2688888888888889, -0.2611111111111111, -0.25333333333333335, -0.24666666666666667, -0.2388888888888889, -0.23333333333333334, -0.23, -0.21777777777777776, -0.21555555555555556, -0.2088888888888889, -0.1988888888888889, -0.19333333333333333, -0.18666666666666668, -0.18222222222222223, -0.17555555555555555, -0.17, -0.16555555555555557, -0.16111111111111112, -0.15555555555555556, -0.15, -0.1388888888888889, -0.1388888888888889, -0.13111111111111112, -0.12666666666666668, -0.12666666666666668, -0.11777777777777777, -0.11333333333333333, -0.11, -0.10444444444444445, -0.10111111111111111, -0.09777777777777778, -0.09444444444444444, -0.09111111111111111, -0.08777777777777777, -0.08333333333333333, -0.0811111111111111, -0.07777777777777778, -0.07444444444444444, -0.07222222222222222, -0.07, -0.06555555555555556, -0.06555555555555556, -0.06222222222222222, -0.06222222222222222, -0.06, -0.058888888888888886, -0.056666666666666664, -0.05555555555555555, -0.05444444444444444, -0.052222222222222225, -0.051111111111111114, -0.051111111111111114, -0.05, -0.04888888888888889, -0.04888888888888889, -0.04888888888888889, -0.04777777777777778, -0.04777777777777778, -0.04777777777777778, -0.04666666666666667, -0.04555555555555556, -0.04555555555555556, -0.042222222222222223, -0.042222222222222223, -0.03888888888888889, -0.03888888888888889, -0.03666666666666667, -0.035555555555555556, -0.034444444444444444]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, -0.0011111111111111111, -0.0022222222222222222, -0.0022222222222222222, -0.0033333333333333335, -0.0044444444444444444, -0.0044444444444444444, -0.005555555555555556, -0.006666666666666667, -0.0077777777777777776, -0.008888888888888889, -0.01, -0.011111111111111112, -0.012222222222222223, -0.012222222222222223, -0.013333333333333334, -0.014444444444444444, -0.015555555555555555, -0.016666666666666666, -0.017777777777777778, -0.017777777777777778, -0.017777777777777778, -0.01888888888888889, -0.02, -0.02, -0.02, -0.021111111111111112, -0.022222222222222223, -0.023333333333333334, -0.023333333333333334, -0.023333333333333334, -0.024444444444444446, -0.024444444444444446, -0.024444444444444446, -0.025555555555555557, -0.025555555555555557, -0.025555555555555557, -0.025555555555555557, -0.025555555555555557, -0.025555555555555557, -0.025555555555555557, -0.025555555555555557, -0.025555555555555557, -0.025555555555555557, -0.025555555555555557, -0.025555555555555557, -0.025555555555555557, -0.025555555555555557, -0.025555555555555557, -0.025555555555555557, -0.025555555555555557, -0.025555555555555557, -0.025555555555555557, -0.025555555555555557, -0.025555555555555557, -0.025555555555555557, -0.025555555555555557, -0.025555555555555557, -0.025555555555555557, -0.025555555555555557, -0.025555555555555557, -0.025555555555555557, -0.025555555555555557, -0.025555555555555557, -0.025555555555555557, -0.025555555555555557, -0.025555555555555557, -0.025555555555555557, -0.025555555555555557, -0.025555555555555557, -0.02666666666666667, -0.02666666666666667, -0.027777777777777776, -0.027777777777777776, -0.027777777777777776, -0.028888888888888888, -0.028888888888888888]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0.0005039169918745756, 0.01401675000670366, 0.020853875001193956, 0.027485875005368143, 0.03845395799726248, 0.045074166991980746, 0.054536292009288445, 0.06093545799376443, 0.07184908300405368, 0.07874358299886808, 0.08799266701680608, 0.09470158300246112, 0.10492054201313294, 0.11181249999208376, 0.1213635420135688, 0.12816066699451767, 0.13821129201096483, 0.14492904199869372, 0.154641792003531, 0.1613329999963753, 0.1716212920146063, 0.17821591699612327, 0.18806887499522418, 0.19479100001626648, 0.20499349999590777, 0.21172754201688804, 0.22129320801468566, 0.22846216699690558, 0.2380594169953838, 0.2448037920112256, 0.25492662499891594, 0.26174987500417046, 0.27139054200961255, 0.2782554170116782, 0.28812512499280274, 0.2948811670066789, 0.30471299999044277, 0.31163704200298525, 0.3212548750161659, 0.3281672500015702, 0.3380647079902701, 0.3448888330021873, 0.35479666700121015, 0.36154387501301244, 0.3715083750139456, 0.3782680000003893, 0.3880494580080267, 0.394615083001554, 0.40508920801221393, 0.4118525829981081, 0.4213392079982441, 0.4278610830078833, 0.43841600001906045, 0.44520695801475085, 0.454651083011413, 0.46139883299474604, 0.4717209170048591, 0.4784632080118172, 0.4880719580105506, 0.4947595419944264, 0.5051270000112709, 0.5121825000096578, 0.5212042079947423, 0.5277674169919919, 0.538295417005429, 0.5447463750024326, 0.5548514169931877, 0.5614048330171499, 0.5716620830062311, 0.578163708007196, 0.5882837499957532, 0.5948839999909978, 0.6048801249999087, 0.6113252920040395, 0.6213935000123456, 0.6289199579914566, 0.643285541998921, 0.6553846670140047, 0.6632491250056773, 0.6718671249982435, 0.6792295830091462, 0.688398625003174, 0.6955090420087799, 0.7050500420155004, 0.711969041993143, 0.7211718750186265, 0.7278295000141952, 0.7386614170100074, 0.745448417001171, 0.755000042001484, 0.7616791250184178, 0.7707311249978375, 0.7773933749995194, 0.7875311250099912, 0.7941613330040127, 0.8048257920017932, 0.8117496249906253, 0.8219232080155052, 0.8285497920005582, 0.837764750001952, 0.8444911249971483, 0.8551496250147466, 0.8619075000169687, 0.8711884170188569, 0.8779147079912946, 0.8885322500136681, 0.8951416670170147, 0.904508125007851, 0.9110390419955365, 0.9224256250017788, 0.9292749169981107, 0.9374530829954892, 0.9440221250115428, 0.9548412500007544, 0.961387207993539, 0.9712512920086738, 0.9779058750136755, 0.9881129169953056, 0.995051208010409, 1.0052641670044977, 1.0120446670043748, 1.0209547500126064, 1.0276345419988502, 1.0385431670001708, 1.0451263750146609, 1.055082292004954, 1.0617309999943245, 1.0718387500091922, 1.0783620000001974, 1.0884445419942494, 1.0950340419949498, 1.1053775000036694, 1.111687416996574, 1.120855292014312, 1.1274025829916354, 1.1382219170045573, 1.1450441670021974, 1.1544730000023264, 1.1613622500153724, 1.1718163749901578, 1.1784775000123773, 1.1882524999964517, 1.1950772920099553, 1.2051100000098813, 1.211859375005588, 1.221585082996171, 1.2281387080147397, 1.23859175000689, 1.2451247920107562, 1.2551620829908643, 1.2623757919936907, 1.2710381250071805, 1.2778286669927184, 1.2885352080047596, 1.295050375018036, 1.3040747079940047, 1.3107569169951603]",[],2.4356526669871528,2.4444174999953248,2.9420140419970267,,895028,2024-03-27_17h03.49.167,mouse_version_ibl,2023.2.3,None,2024-03-27 17h03.56.480604 +0100,
0.5,0.25,0,0,0,0,0,1,1,3,2.9644972080131993,,,,,,2.9424200000066776,2.18655796144557,-1,0.5,-0.35,5.142573082994204,5.142598208010895,5.732186000008369,"[-0.35, -0.35, -0.35, -0.35, -0.35, -0.35, -0.35, -0.35, -0.35, -0.35, -0.35, -0.35, -0.35, -0.35, -0.35, -0.35, -0.35, -0.35, -0.35, -0.35, -0.35, -0.35, -0.35, -0.35, -0.35, -0.35, -0.35, -0.35, -0.35, -0.35, -0.35, -0.35, -0.35, -0.35, -0.35, -0.35, -0.35, -0.35, -0.35, -0.35, -0.35, -0.35, -0.35, -0.35, -0.35, -0.35, -0.35, -0.35, -0.35, -0.35, -0.3511111111111111, -0.35333333333333333, -0.3566666666666667, -0.35888888888888887, -0.36333333333333334, -0.36777777777777776, -0.37444444444444447, -0.3811111111111111, -0.38666666666666666, -0.3933333333333333, -0.4011111111111111, -0.4088888888888889, -0.4166666666666667, -0.42, -0.4255555555555556, -0.43666666666666665, -0.4444444444444444, -0.45, -0.45555555555555555]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, -0.0011111111111111111, -0.0011111111111111111, -0.0022222222222222222]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0.0005261659971438348, 0.010442375001730397, 0.01741570798913017, 0.03197720801108517, 0.03877704101614654, 0.047886749991448596, 0.054569500003708526, 0.06478866600082256, 0.07158545800484717, 0.08120241601136513, 0.08795787498820573, 0.09836316600558348, 0.10561125000822358, 0.11410529099521227, 0.12086841600830667, 0.13166766599169932, 0.1384757079940755, 0.14784533300553448, 0.1545134999905713, 0.16503937501693144, 0.1718648330133874, 0.18111125001451, 0.1878828750050161, 0.19836050001322292, 0.20580733299721032, 0.2144747500133235, 0.2211838329967577, 0.2318902499973774, 0.23929262498859316, 0.24789754100493155, 0.25510283300536685, 0.26473970801453106, 0.27222949999850243, 0.28116862499155104, 0.28794633300276473, 0.29830316599691287, 0.3050342909991741, 0.31456704100128263, 0.32137029099976644, 0.3315696660138201, 0.33835420801187865, 0.3474224579986185, 0.35409316600998864, 0.3649345000158064, 0.3716812909988221, 0.3811909159994684, 0.38801216598949395, 0.3980536659946665, 0.4048479160119314, 0.4145409160119016, 0.4222977499885019, 0.43126641600974835, 0.4394369159999769, 0.4477445000084117, 0.45495204100734554, 0.46400974999414757, 0.4712921660102438, 0.4818430000159424, 0.48862808299600147, 0.4981928750057705, 0.5049864999891724, 0.5151534159958828, 0.5219404160161503, 0.530880000005709, 0.5375638749974314, 0.5484055409906432, 0.55520037500537, 0.563974207994761, 0.5705745409941301]",[],5.733775375003461,5.7416380000067875,6.242017125012353,,895028,2024-03-27_17h03.49.167,mouse_version_ibl,2023.2.3,None,2024-03-27 17h03.56.480604 +0100,
0.5,0.125,0,0,0,0,0,2,2,2,6.262527125014458,,,,,,6.242414042004384,2.6410760115768,-1,0.5,-0.35,8.898918916995171,8.898944499989739,9.509383041993715,"[-0.35, -0.35, -0.35, -0.35, -0.35, -0.35, -0.35, -0.35, -0.35, -0.35, -0.35, -0.35, -0.35, -0.35, -0.35, -0.35, -0.35, -0.35, -0.35, -0.35, -0.35, -0.35, -0.35, -0.35, -0.35, -0.35, -0.35, -0.35, -0.35, -0.35, -0.35, -0.35, -0.35, -0.35, -0.35, -0.35, -0.35, -0.35, -0.35, -0.35, -0.35, -0.35, -0.35, -0.35, -0.35, -0.3488888888888889, -0.3433333333333333, -0.33555555555555555, -0.32555555555555554, -0.31555555555555553, -0.3011111111111111, -0.29, -0.2733333333333333, -0.2588888888888889, -0.24, -0.22333333333333333, -0.20777777777777778, -0.18777777777777777, -0.17222222222222222, -0.15222222222222223, -0.13666666666666666, -0.12, -0.10555555555555556, -0.08222222222222222, -0.08222222222222222, -0.06, -0.06, -0.04555555555555556, -0.042222222222222223, -0.03666666666666667, -0.03222222222222222]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, -0.0022222222222222222, -0.0033333333333333335, -0.0033333333333333335, -0.0044444444444444444, -0.0044444444444444444, -0.0044444444444444444, -0.005555555555555556, -0.0077777777777777776, -0.008888888888888889, -0.01, -0.011111111111111112, -0.014444444444444444, -0.014444444444444444, -0.017777777777777778, -0.017777777777777778, -0.021111111111111112, -0.021111111111111112, -0.022222222222222223, -0.023333333333333334]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0.0005178330175112933, 0.00998079200508073, 0.024865583021892235, 0.032049583009211347, 0.04053479200229049, 0.04734558300697245, 0.057533042010618374, 0.06481237499974668, 0.07395808299770579, 0.0807306670176331, 0.09089762502117082, 0.09777112500160001, 0.10723545801010914, 0.11396387501736172, 0.12434233300155029, 0.1313704579952173, 0.14074112501111813, 0.14759308300563134, 0.15721620799740776, 0.16398666700115427, 0.17429291701409966, 0.18104254201170988, 0.19063425000058487, 0.19728270801715553, 0.2076924169959966, 0.2144603329943493, 0.22394195801462047, 0.23058137501357123, 0.24099645801470615, 0.2477013750176411, 0.2572055420023389, 0.26385941699845716, 0.27427987501141615, 0.28101412500836886, 0.29016329199657775, 0.2967443329980597, 0.30776062500081025, 0.3143560830212664, 0.3240305420185905, 0.33074624999426305, 0.340347000019392, 0.3470856250205543, 0.35770212500938214, 0.36436287499964237, 0.3739465420076158, 0.38160100000095554, 0.3905278750171419, 0.3973877920070663, 0.4067238330026157, 0.41359304200159386, 0.42418145801639184, 0.43187008300446905, 0.44016758300131187, 0.4475722500064876, 0.45763429201906547, 0.4643651249934919, 0.47445750000770204, 0.4811073330056388, 0.4908443750173319, 0.49744866701075807, 0.5077058330061845, 0.5141771670023445, 0.5243653750221711, 0.5310954580199905, 0.54137812499539, 0.5478111249976791, 0.5577534580079373, 0.564221542008454, 0.5738678330089897, 0.5806484580098186, 0.5905004579981323]",[],9.510975832992699,9.517281667009229,10.00914133299375,10.030994542001281,895028,2024-03-27_17h03.49.167,mouse_version_ibl,2023.2.3,None,2024-03-27 17h03.56.480604 +0100,
0.5,,,,,,,,,,10.030994542001281,,,,,,10.009550624992698,2.4488184089299683,1,0.5,0.35,,,,,,,,,,,,,,,,,,,,,
